architecture,budget_tier,owner_tag,force_mse_norm,reused_checkpoint,reused_from_budget_tier,source_file
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0.0109093944632446,True,"MID (existing owner_manifest.csv row, mpnn_MID_w1150_s500000)",paper_repro/data/claim1/owner_manifest.csv (mpnn_MID_w1150_s500000 row)
MC-EGNN,PRECROSS,egnn_PRECROSS_w160_s300000_dense23,0.0045521875302867,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
GemNet-OC,PRECROSS,gemnet_oc_PRECROSS_w80_s450000_dense23,0.0017378933923385,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
eSEN,PRECROSS,esen_PRECROSS_w8_s350000_dense23,0.0018798745178881,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
MPNN,CROSS,mpnn_CROSS_w1448_s400000_dense23,0.0107365928842486,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
MC-EGNN,CROSS,egnn_PRECROSS_w160_s300000_dense23,0.0045521875302867,True,PRECROSS,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
GemNet-OC,CROSS,gemnet_oc_PRECROSS_w80_s450000_dense23,0.0017378933923385,True,PRECROSS,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
eSEN,CROSS,esen_CROSS_w20_s150000_dense23,0.0016600938222114,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
MPNN,FITX,mpnn_FITX_w1583_s450000_dense23,0.0097973475347791,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
MC-EGNN,FITX,egnn_FITX_w160_s400000_dense23,0.0038754822057255,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
GemNet-OC,FITX,gemnet_oc_FITX_w96_s450000_dense23,0.0015887785634637,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
eSEN,FITX,esen_FITX_w20_s200000_dense23,0.001402125713543,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
MPNN,POSTCROSS,mpnn_POSTCROSS_w1857_s400000_dense23,0.0094515709373153,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
MC-EGNN,POSTCROSS,egnn_FITX_w160_s400000_dense23,0.0038754822057255,True,FITX,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
GemNet-OC,POSTCROSS,gemnet_oc_POSTCROSS_w112_s400000_dense23,0.0014332995966137,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
eSEN,POSTCROSS,esen_POSTCROSS_w40_s125000_dense23,0.0012586217585427,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
MPNN,TOP,mpnn_TOP_w2557_s500000_dense23,0.0077457507378873,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
MC-EGNN,TOP,egnn_TOP_w320_s500000_dense23,0.002714732227235,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
GemNet-OC,TOP,gemnet_oc_TOP_w256_s400000_dense23,0.0010210147545868,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
eSEN,TOP,esen_TOP_w64_s350000_dense23,0.0006214341292885,False,,upstream-analysis/analysis_scripts/owners_dense_grid_2026_08_23.py (OWNERS_RAW_DENSE23)
