architecture,budget_tier,owner_tag,m,trace_raw,trace_over_dim,symmetry_relative_max_error,min_eigenvalue,max_eigenvalue,alignment_A_Kx_y,checkpoint_sha256_verified,global_step_verified,self_consistency_gate_pass,note,jacobian_seconds,gram_seconds,total_seconds,source_script,source_file
MPNN,CROSS,mpnn_CROSS_w1448_s400000_dense23,1024,292039.6848979598,95.06500159438797,0.0,0.48093572441743865,45051.36279141811,0.02793904648525719,True,True,True,"no prior m=256 kernel exists for these new dense-grid owners, so the m=256 reproduction gate used by the original 12 LOW/MID/HIGH owners does not apply; validated instead by the self-consistency gate (finite, symmetric, PSD, K_trace>0) recorded in self_consistency_gate_pass",961.2088234424591,1100.7559416294098,2088.6275980472565,upstream-analysis (dense-grid kernel build script referenced in logs/dg-*.out),upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/kernels/mpnn_CROSS_w1448_s400000_dense23_m1024_metadata.json
MPNN,FITX,mpnn_FITX_w1583_s450000_dense23,1024,225709.37586434538,73.47310412250826,0.0,0.5011701697332506,8117.307518406494,0.05843882619663735,True,True,True,"no prior m=256 kernel exists for these new dense-grid owners, so the m=256 reproduction gate used by the original 12 LOW/MID/HIGH owners does not apply; validated instead by the self-consistency gate (finite, symmetric, PSD, K_trace>0) recorded in self_consistency_gate_pass",1159.1739168167114,5139.09047627449,6354.543347835541,upstream-analysis (dense-grid kernel build script referenced in logs/dg-*.out),upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/kernels/mpnn_FITX_w1583_s450000_dense23_m1024_metadata.json
MPNN,POSTCROSS,mpnn_POSTCROSS_w1857_s400000_dense23,1024,205992.74728958408,67.05493075832815,0.0,0.5091941913088179,7427.836936936368,0.053265782139901505,True,True,True,"no prior m=256 kernel exists for these new dense-grid owners, so the m=256 reproduction gate used by the original 12 LOW/MID/HIGH owners does not apply; validated instead by the self-consistency gate (finite, symmetric, PSD, K_trace>0) recorded in self_consistency_gate_pass",1763.5376834869385,3228.467520236969,5048.352341175079,upstream-analysis (dense-grid kernel build script referenced in logs/dg-*.out),upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/kernels/mpnn_POSTCROSS_w1857_s400000_dense23_m1024_metadata.json
MPNN,TOP,mpnn_TOP_w2557_s500000_dense23,1024,154560.66154469672,50.312715346580966,0.0,0.5066981851131395,9200.806235309854,0.0464632246903611,True,True,True,"no prior m=256 kernel exists for these new dense-grid owners, so the m=256 reproduction gate used by the original 12 LOW/MID/HIGH owners does not apply; validated instead by the self-consistency gate (finite, symmetric, PSD, K_trace>0) recorded in self_consistency_gate_pass",3370.213803052902,12880.391071796417,16317.217163801193,upstream-analysis (dense-grid kernel build script referenced in logs/dg-*.out),upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/kernels/mpnn_TOP_w2557_s500000_dense23_m1024_metadata.json
MC-EGNN,PRECROSS,egnn_PRECROSS_w160_s300000_dense23,1024,273079.33320017694,88.8930121094326,0.0,5.643789863053458e-12,226732.3553214586,0.004051004460281826,True,True,True,"no prior m=256 kernel exists for these new dense-grid owners, so the m=256 reproduction gate used by the original 12 LOW/MID/HIGH owners does not apply; validated instead by the self-consistency gate (finite, symmetric, PSD, K_trace>0) recorded in self_consistency_gate_pass",392.8739004135132,189.31189799308777,623.4639327526093,upstream-analysis (dense-grid kernel build script referenced in logs/dg-*.out),upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/kernels/egnn_PRECROSS_w160_s300000_dense23_m1024_metadata.json
MC-EGNN,FITX,egnn_FITX_w160_s400000_dense23,1024,270048.3613132042,87.90636761497534,0.0,5.159364506343414e-12,225436.98003315326,0.003647755812580117,True,True,True,"no prior m=256 kernel exists for these new dense-grid owners, so the m=256 reproduction gate used by the original 12 LOW/MID/HIGH owners does not apply; validated instead by the self-consistency gate (finite, symmetric, PSD, K_trace>0) recorded in self_consistency_gate_pass",275.58744502067566,112.47905445098877,426.4656825065613,upstream-analysis (dense-grid kernel build script referenced in logs/dg-*.out),upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/kernels/egnn_FITX_w160_s400000_dense23_m1024_metadata.json
MC-EGNN,TOP,egnn_TOP_w320_s500000_dense23,1024,218112.30077521896,71.00009790859993,0.0,6.327113504341743e-12,162439.31286235034,0.003796955108368826,True,True,True,"no prior m=256 kernel exists for these new dense-grid owners, so the m=256 reproduction gate used by the original 12 LOW/MID/HIGH owners does not apply; validated instead by the self-consistency gate (finite, symmetric, PSD, K_trace>0) recorded in self_consistency_gate_pass",542.6475930213928,306.39650321006775,902.4664354324341,upstream-analysis (dense-grid kernel build script referenced in logs/dg-*.out),upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/kernels/egnn_TOP_w320_s500000_dense23_m1024_metadata.json
GemNet-OC,PRECROSS,gemnet_oc_PRECROSS_w80_s450000_dense23,1024,25955.14506269318,8.448940450095437,0.0,1.0836575214380396e-12,2365.1836317527604,0.5831458156783791,True,True,True,"no prior m=256 kernel exists for these new dense-grid owners, so the m=256 reproduction gate used by the original 12 LOW/MID/HIGH owners does not apply; validated instead by the self-consistency gate (finite, symmetric, PSD, K_trace>0) recorded in self_consistency_gate_pass",290.734402179718,26.355042457580566,355.2150321006775,upstream-analysis (dense-grid kernel build script referenced in logs/dg-*.out),upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/kernels/gemnet_oc_PRECROSS_w80_s450000_dense23_m1024_metadata.json
GemNet-OC,FITX,gemnet_oc_FITX_w96_s450000_dense23,1024,23739.00466288034,7.7275405803646935,0.0,1.006099380121112e-12,2293.70336192194,0.48477884346105804,True,True,True,"no prior m=256 kernel exists for these new dense-grid owners, so the m=256 reproduction gate used by the original 12 LOW/MID/HIGH owners does not apply; validated instead by the self-consistency gate (finite, symmetric, PSD, K_trace>0) recorded in self_consistency_gate_pass",272.04482412338257,36.46460795402527,351.81352138519287,upstream-analysis (dense-grid kernel build script referenced in logs/dg-*.out),upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/kernels/gemnet_oc_FITX_w96_s450000_dense23_m1024_metadata.json
GemNet-OC,POSTCROSS,gemnet_oc_POSTCROSS_w112_s400000_dense23,1024,22306.282107885945,7.261159540327456,0.0,1.1230774737308108e-12,2070.8749504960338,0.5008852326465589,True,True,True,"no prior m=256 kernel exists for these new dense-grid owners, so the m=256 reproduction gate used by the original 12 LOW/MID/HIGH owners does not apply; validated instead by the self-consistency gate (finite, symmetric, PSD, K_trace>0) recorded in self_consistency_gate_pass",363.6921718120575,109.84038090705872,509.3721070289612,upstream-analysis (dense-grid kernel build script referenced in logs/dg-*.out),upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/kernels/gemnet_oc_POSTCROSS_w112_s400000_dense23_m1024_metadata.json
