architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
MC-EGNN,dense-grid-CROSS,CROSS,1024,32,rho_0.0001,0.0001,common,0.5166986264887843,0.46240785810410995,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,32,rho_0.01,0.01,common,0.5587680907001613,0.4905506049151024,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,32,rho_0.1,0.1,common,0.6560982087755358,0.5951261523866938,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,32,rho_1e-06,1e-06,common,0.5164885777552568,0.4622320706643019,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,32,rho_1e-08,1e-08,common,0.5164927115772452,0.4620392578989322,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,32,ridgeless,0.0,common,0.5164927552703285,0.46206502603561017,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,64,rho_0.0001,0.0001,common,0.25563035563071335,0.2791010683519026,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,64,rho_0.01,0.01,common,0.28092710542431215,0.3086486332408331,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,64,rho_0.1,0.1,common,0.37187721996945045,0.4055585146526207,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,64,rho_1e-06,1e-06,common,0.2572013317430557,0.27874198136556516,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,64,rho_1e-08,1e-08,common,0.2577000372137985,0.2786767364568091,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,64,ridgeless,0.0,common,0.25793010822978535,0.2787738362823583,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,128,rho_0.0001,0.0001,common,0.12823938505269306,0.1559795650851322,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,128,rho_0.01,0.01,common,0.14592129753915933,0.17768037449062607,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,128,rho_0.1,0.1,common,0.23239857228020028,0.2478283550382824,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,128,rho_1e-06,1e-06,common,0.12768396284048927,0.15568791459254444,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,128,rho_1e-08,1e-08,common,0.1270968004597927,0.15551716589143022,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,128,ridgeless,0.0,common,0.1270867614146795,0.15552216537447056,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,256,rho_0.0001,0.0001,common,0.060163224298944336,0.07033884631926617,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,256,rho_0.01,0.01,common,0.06986216983936042,0.07991604550695466,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,256,rho_0.1,0.1,common,0.11339295510350661,0.12077966940290792,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,256,rho_1e-06,1e-06,common,0.05959043339083798,0.07084244086733005,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
