architecture,budget_tier,owner_tag,split_seed,n,rho,ridge_setting,ridge_value,train_diag_mean,test_atoms,train_block_dimension,effective_numerical_rank_train,rcond,test_nmse,selected_rho,is_selected,inner_val_nmse,n_inner_val_atoms,source_file
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,32,0.0,ridgeless,0.0,91.65381182055073,256,96,96,1e-10,0.7777103642347213,0.0,True,0.8901011899875969,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,32,1e-08,rho_1e-08,9.165381182055073e-07,91.65381182055073,256,96,96,1e-10,0.7777103660455515,0.0,False,0.8901011922205524,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,32,1e-06,rho_1e-06,9.165381182055072e-05,91.65381182055073,256,96,96,1e-10,0.7777105453169083,0.0,False,0.8901014132826532,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,32,0.0001,rho_0.0001,0.009165381182055073,91.65381182055073,256,96,96,1e-10,0.7777284643370943,0.0,False,0.8901235145683816,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,32,0.01,rho_0.01,0.9165381182055073,91.65381182055073,256,96,96,1e-10,0.7794431564785328,0.0,False,0.8922856837359088,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,32,0.1,rho_0.1,9.165381182055073,91.65381182055073,256,96,96,1e-10,0.7903609945300788,0.0,False,0.9084791767521275,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,64,0.0,ridgeless,0.0,102.70544770868379,256,192,192,1e-10,0.670193038398513,0.0,True,0.41018162873088587,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,64,1e-08,rho_1e-08,1.027054477086838e-06,102.70544770868379,256,192,192,1e-10,0.6701930417609528,0.0,False,0.41018163222920584,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,64,1e-06,rho_1e-06,0.00010270544770868379,102.70544770868379,256,192,192,1e-10,0.6701933746414759,0.0,False,0.4101819785617875,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,64,0.0001,rho_0.0001,0.010270544770868379,102.70544770868379,256,192,192,1e-10,0.6702266524013961,0.0,False,0.4102166008322789,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,64,0.01,rho_0.01,1.027054477086838,102.70544770868379,256,192,192,1e-10,0.6734547269942843,0.0,False,0.41357382697037604,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,64,0.1,rho_0.1,10.27054477086838,102.70544770868379,256,192,192,1e-10,0.696133894996976,0.0,False,0.43742637424267145,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,128,0.0,ridgeless,0.0,90.62034948175699,256,384,384,1e-10,0.502553012168228,0.0,True,0.8873344941724588,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,128,1e-08,rho_1e-08,9.062034948175699e-07,90.62034948175699,256,384,384,1e-10,0.5025530170924277,0.0,False,0.8873345044715389,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,128,1e-06,rho_1e-06,9.062034948175698e-05,90.62034948175699,256,384,384,1e-10,0.502553504586557,0.0,False,0.8873355240753861,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,128,0.0001,rho_0.0001,0.0090620349481757,90.62034948175699,256,384,384,1e-10,0.5026022377695245,0.0,False,0.8874374339732476,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,128,0.01,rho_0.01,0.9062034948175699,90.62034948175699,256,384,384,1e-10,0.5073209724564215,0.0,False,0.8971533086978893,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,128,0.1,rho_0.1,9.062034948175699,90.62034948175699,256,384,384,1e-10,0.5406555832901637,0.0,False,0.9583261878169534,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,256,0.0,ridgeless,0.0,106.67994360273616,256,768,768,1e-10,0.21001744173978926,0.0,True,0.28961529024406873,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,256,1e-08,rho_1e-08,1.0667994360273617e-06,106.67994360273616,256,768,768,1e-10,0.21001744465628303,0.0,False,0.28961529490293625,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
