budget_tier,architecture,owner_tag,force_mse_norm,nn_rank,krr_auc_log_nmse_n32_512,krr_rank,concordant_with_nn,auc_statistic_definition
LOW,MC-EGNN,egnn_LOW_w96_s100000,0.0080014705545307,3,-1.9665246898740456,3,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary (same statistic as ranking_comparison.csv, extended here to all 8 budgets)"
LOW,eSEN,esen_LOW_w10_s50000,0.0060544097484207,2,-3.166923873277,2,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary (same statistic as ranking_comparison.csv, extended here to all 8 budgets)"
LOW,GemNet-OC,gemnet_oc_LOW_w48_s200000,0.003287852691115,1,-4.330960466814164,1,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary (same statistic as ranking_comparison.csv, extended here to all 8 budgets)"
LOW,MPNN,mpnn_LOW_w607_s400000,0.0157542140583355,4,-0.756441429005599,4,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary (same statistic as ranking_comparison.csv, extended here to all 8 budgets)"
MID,MC-EGNN,egnn_MID_w96_s450000,0.0048411353709021,3,-1.9438228359261522,3,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary (same statistic as ranking_comparison.csv, extended here to all 8 budgets)"
MID,eSEN,esen_MID_w16_s150000,0.001978949702442,2,-3.3941421809030823,2,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary (same statistic as ranking_comparison.csv, extended here to all 8 budgets)"
MID,GemNet-OC,gemnet_oc_MID_w64_s500000,0.001844648895683,1,-4.724372905254924,1,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary (same statistic as ranking_comparison.csv, extended here to all 8 budgets)"
MID,MPNN,mpnn_MID_w1150_s500000,0.0109093944632446,4,-0.8223872916049509,4,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary (same statistic as ranking_comparison.csv, extended here to all 8 budgets)"
PRECROSS,MPNN,mpnn_MID_w1150_s500000,0.0109093944632446,4,-0.8223872916049509,4,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary (same statistic as ranking_comparison.csv, extended here to all 8 budgets)"
PRECROSS,MC-EGNN,egnn_PRECROSS_w160_s300000_dense23,0.0045521875302867,3,-2.052384714640797,3,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary (same statistic as ranking_comparison.csv, extended here to all 8 budgets)"
