architecture,checkpoint_state,budget_tier,m,width_or_size,trace_raw_max_eig,max_eigenvalue_operator,min_eigenvalue_raw,numerical_rank,effective_rank,symmetry_relative_max_error,psd_pass,k50,k80,k90,k95,k50_y,k80_y,k90_y,k95_y,k50_residual,k80_residual,k90_residual,k95_residual,alignment_A_Kt_y,alignment_A_Kx,source_file
MPNN,K0,,256,medium/hc=1024,,149.23831634814948,16.96255346432158,768,75.2286427362916,0.0,True,536,715,742,752,,,,,,,,,,,upstream-analysis/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/spectral_descriptors.csv
MPNN,K0,,256,large/hc=2048,,113.54620518366706,18.205998730238086,768,93.66523749445382,0.0,True,555,700,727,752,,,,,,,,,,,upstream-analysis/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/spectral_descriptors.csv
MC-EGNN,K0,,256,medium/hc=320,,143.95009965928227,1.3561502226898188e-12,602,1.0357293085066308,0.0,True,374,566,630,661,,,,,,,,,,,upstream-analysis/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/spectral_descriptors.csv
MC-EGNN,K0,,256,large/hc=512,,111.29247531128418,1.4239237360015207e-12,661,1.0649997500779487,0.0,True,357,571,643,675,,,,,,,,,,,upstream-analysis/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/spectral_descriptors.csv
GemNet-OC,K0,,256,medium/width=128,,0.8609797634981232,4.5953915833545947e-10,767,57.674200876566076,0.0,True,290,443,502,558,,,,,,,,,,,upstream-analysis/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/spectral_descriptors.csv
GemNet-OC,K0,,256,large/width=256,,0.8832916098710323,6.570706096002235e-10,767,74.90991217785424,0.0,True,299,439,520,584,,,,,,,,,,,upstream-analysis/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/spectral_descriptors.csv
eSEN,K0,,256,medium/sphere_channels=32,,83.88014297841822,0.0408670212880151,768,5.344549009966907,0.0,True,289,459,545,623,,,,,,,,,,,upstream-analysis/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/spectral_descriptors.csv
eSEN,K0,,256,large/sphere_channels=64,,26.291791231101254,0.008183262016454411,768,4.016905571995125,0.0,True,333,519,595,648,,,,,,,,,,,upstream-analysis/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/spectral_descriptors.csv
MPNN,K0,,256,width=2048,,117.65415637389461,17.80939013770544,768,88.88491560034065,0.0,True,,,,,566,700,732,748,7,508,663,715,,,upstream-analysis/analysis_outputs/four_arch_trained_force_kernel_pilot_2026_08_15/spectral_evolution_summary.csv
MPNN,K50k,,256,width=2048,,39.62845654633653,1.1195251713371202,768,153.27860658118215,0.0,True,,,,,30,132,238,292,151,281,331,419,,,upstream-analysis/analysis_outputs/four_arch_trained_force_kernel_pilot_2026_08_15/spectral_evolution_summary.csv
MPNN,K500k,,256,width=2048,,14.553242894543235,1.19523329867826,768,225.13181694154585,0.0,True,,,,,27,69,107,162,60,107,162,261,,,upstream-analysis/analysis_outputs/four_arch_trained_force_kernel_pilot_2026_08_15/spectral_evolution_summary.csv
MC-EGNN,K0,,256,width=512,,111.19686486017339,4.82262368520278e-12,626,1.0365035974783279,0.0,True,,,,,357,559,636,667,1,308,472,595,,,upstream-analysis/analysis_outputs/four_arch_trained_force_kernel_pilot_2026_08_15/spectral_evolution_summary.csv
MC-EGNN,K50k,,256,width=512,,112.60697943663718,4.748806688826048e-08,766,10.731317847761497,0.0,True,,,,,8,18,42,68,35,134,244,375,,,upstream-analysis/analysis_outputs/four_arch_trained_force_kernel_pilot_2026_08_15/spectral_evolution_summary.csv
MC-EGNN,K500k,,256,width=512,,3342.2476276269394,4.4748848132306716e-08,763,1.6027396912871517,0.0,True,,,,,16,29,53,81,1,1,1,1,,,upstream-analysis/analysis_outputs/four_arch_trained_force_kernel_pilot_2026_08_15/spectral_evolution_summary.csv
GemNet-OC,K0,,256,width=256,,0.8693416889527674,1.265413916080429e-09,767,84.59121122297502,0.0,True,,,,,310,465,569,606,309,463,569,606,,,upstream-analysis/analysis_outputs/four_arch_trained_force_kernel_pilot_2026_08_15/spectral_evolution_summary.csv
GemNet-OC,K50k,,256,width=256,,2.028058560724888,1.687342896760883e-09,766,99.36676779095365,0.0,True,,,,,7,7,8,14,45,156,241,303,,,upstream-analysis/analysis_outputs/four_arch_trained_force_kernel_pilot_2026_08_15/spectral_evolution_summary.csv
GemNet-OC,K500k,,256,width=256,,1.3484664722825004,3.6080992595125764e-09,766,104.92609034934165,0.0,True,,,,,3,3,3,6,20,84,166,252,,,upstream-analysis/analysis_outputs/four_arch_trained_force_kernel_pilot_2026_08_15/spectral_evolution_summary.csv
eSEN,K0,,256,width=64,,27.13367932046487,0.006071382976198764,768,3.481011394853539,0.0,True,,,,,313,497,560,622,313,497,560,622,,,upstream-analysis/analysis_outputs/four_arch_trained_force_kernel_pilot_2026_08_15/spectral_evolution_summary.csv
