architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
GemNet-OC,K0,,256,8,rho_1e-4,0.0001,raw_force,1.126305553777553,1.4787429227288076,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,8,rho_1e-6,1e-06,raw_force,1.126616281005124,1.4805100070632222,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,8,rho_1e-8,1e-08,raw_force,1.1266198720486558,1.4804835748818048,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,8,ridgeless,0.0,raw_force,1.1266199083829145,1.4804828212160874,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,16,rho_1e-4,0.0001,raw_force,1.4552663811120632,1.658936594064419,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,16,rho_1e-6,1e-06,raw_force,1.4623777151680384,1.6652420513072492,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,16,rho_1e-8,1e-08,raw_force,1.4620178103348018,1.6649930838586335,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,16,ridgeless,0.0,raw_force,1.4620141698850402,1.6649862405364313,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,32,rho_1e-4,0.0001,raw_force,2.077220565106918,2.0274276280851597,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,32,rho_1e-6,1e-06,raw_force,2.1288191685161584,2.069273496183167,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,32,rho_1e-8,1e-08,raw_force,2.1293647008911774,2.069528547194108,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,32,ridgeless,0.0,raw_force,2.129370214169895,2.069552859577697,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,64,rho_1e-4,0.0001,raw_force,1.88162009071772,2.235131570763202,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,64,rho_1e-6,1e-06,raw_force,1.9574760831492917,2.3290162426684353,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,64,rho_1e-8,1e-08,raw_force,1.964420434666921,2.3313930508895995,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,64,ridgeless,0.0,raw_force,1.9646777829052855,2.3314831264245783,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,96,rho_1e-4,0.0001,raw_force,1.7798911618976583,2.1875238465693836,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,96,rho_1e-6,1e-06,raw_force,1.8548253497528475,2.2690148985849508,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,96,rho_1e-8,1e-08,raw_force,1.856580853112952,2.262733266495641,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,96,ridgeless,0.0,raw_force,1.8565794880354303,2.2628029140508743,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,128,rho_1e-4,0.0001,raw_force,1.4750798146086697,1.8745348238638602,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,128,rho_1e-6,1e-06,raw_force,1.5336420313540837,1.9573959343905478,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,128,rho_1e-8,1e-08,raw_force,1.5363052616544584,1.9497340298893118,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,128,ridgeless,0.0,raw_force,1.536562450306673,1.9496036671305714,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,8,rho_1e-4,0.0001,raw_force,1.15372293115017,1.6169696697460938,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,8,rho_1e-6,1e-06,raw_force,1.1540606030186267,1.6193524522289071,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,8,rho_1e-8,1e-08,raw_force,1.1544540776753385,1.6194202780116354,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,8,ridgeless,0.0,raw_force,1.1544678851216919,1.6194219443385094,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,16,rho_1e-4,0.0001,raw_force,1.5074975753228803,1.7748330408420556,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,16,rho_1e-6,1e-06,raw_force,1.501459839084489,1.7855011948335053,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,16,rho_1e-8,1e-08,raw_force,1.4997739907230665,1.7855197372611609,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
