architecture,architecture_label,width,step,global_step,N,N_from_training_log,N_matches_training_log,N_source,D_atom_tokens,D_source,kappa,flops_coef_3kappa,C,force_mse_norm,f_loss,force_mae_norm,force_mae_physical,e_mae,e_loss,loss_mixed,metric_valid,metric_valid_reason,force_rescale_factor_vs_training,train_job_id_from_path,job_id,exp_name,run_dir_scratch,run_dir,config_source,n_batches,n_configs,n_atoms,atom_tokens_per_step,global_step_matches_filename,total_flops_used_logged,ckpt_size_bytes,mtime,ckpt_path,mup_mode,parameterization_variant,force_decoder_width_mult,source_file
egnn,MC-EGNN,96,50000,50000,1055050,1055050.0,True,runs_csv,86606672,checkpoint token_processed,28.09,84.27,7700118100371672.0,0.0118385036742125,0.0502806283860503,0.0227318732762913,0.1450975471225677,0.6680804176845396,0.0030049785451939,0.5328560693124439,True,REPAIRED 2026-08-14: re-evaluated under the legacy_shape mu-P convention (width_mult=num_vectors/10) matching this checkpoint's actual training-time construction. See analysis_outputs/mcegnn_force_eval_repair_2026_08_14/REPORT.md.,,9745361,9745361.0,mc-egnn-hc-96-neutral-epoch,run_9745361_params_1.1_million,outputs/2026-06-05/19-49-19,hydra_run_dir,866,27697,1238644,1732.13344,True,7675447020662400,17682247,1780706912,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-96-neutral-epoch/mc_egnn/run_9745361_params_1.1_million/dim_96_step_step=50000.ckpt,legacy_shape,legacy,0.9,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_checkpoint_table.csv
egnn,MC-EGNN,96,100000,100000,1055050,1055050.0,True,runs_csv,173280589,checkpoint token_processed,28.09,84.27,1.5406214890718402e+16,0.0080014705545307,0.0424549850198605,0.0193748490514619,0.1236696614954818,0.6235459804982291,0.0026343770475206,0.4508936206738122,True,REPAIRED 2026-08-14: re-evaluated under the legacy_shape mu-P convention (width_mult=num_vectors/10) matching this checkpoint's actual training-time construction. See analysis_outputs/mcegnn_force_eval_repair_2026_08_14/REPORT.md.,,9745361,9745361.0,mc-egnn-hc-96-neutral-epoch,run_9745361_params_1.1_million,outputs/2026-06-05/19-49-19,hydra_run_dir,866,27697,1238644,1732.80589,True,15356853575653800,17682885,1780710502,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-96-neutral-epoch/mc_egnn/run_9745361_params_1.1_million/dim_96_step_step=100000.ckpt,legacy_shape,legacy,0.9,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_checkpoint_table.csv
egnn,MC-EGNN,96,150000,150000,1055050,1055050.0,True,runs_csv,259900012,checkpoint token_processed,28.09,84.27,2.310746667055876e+16,0.0065952552298049,0.0384178560197043,0.0176208745888594,0.1124740425006897,0.5680105539240958,0.0023206567334486,0.4073851275315302,True,REPAIRED 2026-08-14: re-evaluated under the legacy_shape mu-P convention (width_mult=num_vectors/10) matching this checkpoint's actual training-time construction. See analysis_outputs/mcegnn_force_eval_repair_2026_08_14/REPORT.md.,,9745361,9745361.0,mc-egnn-hc-96-neutral-epoch,run_9745361_params_1.1_million,outputs/2026-06-05/19-49-19,hydra_run_dir,866,27697,1238644,1732.6667466666668,True,23033430643490400,17683267,1780714054,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-96-neutral-epoch/mc_egnn/run_9745361_params_1.1_million/dim_96_step_step=150000.ckpt,legacy_shape,legacy,0.9,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_checkpoint_table.csv
egnn,MC-EGNN,96,200000,200000,1055050,1055050.0,True,runs_csv,346540387,checkpoint token_processed,28.09,84.27,3.0810581273097576e+16,0.0059796466101466,0.0362561636778588,0.0166507334964674,0.1062816319079514,0.5424501407056979,0.0021990343172712,0.3845519799513013,True,REPAIRED 2026-08-14: re-evaluated under the legacy_shape mu-P convention (width_mult=num_vectors/10) matching this checkpoint's actual training-time construction. See analysis_outputs/mcegnn_force_eval_repair_2026_08_14/REPORT.md.,,9745361,9745361.0,mc-egnn-hc-96-neutral-epoch,run_9745361_params_1.1_million,outputs/2026-06-05/19-49-19,hydra_run_dir,866,27697,1238644,1732.701935,True,30711864565565400,17683713,1780717628,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-96-neutral-epoch/mc_egnn/run_9745361_params_1.1_million/dim_96_step_step=200000.ckpt,legacy_shape,legacy,0.9,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_checkpoint_table.csv
egnn,MC-EGNN,96,250000,250000,1055050,1055050.0,True,runs_csv,433146846,checkpoint token_processed,28.09,84.27,3.851068043583872e+16,0.0056632424802997,0.0347435236317008,0.0159796631445035,0.1019981898513663,0.5538107140751138,0.0022191220349212,0.3696264566662215,True,REPAIRED 2026-08-14: re-evaluated under the legacy_shape mu-P convention (width_mult=num_vectors/10) matching this checkpoint's actual training-time construction. See analysis_outputs/mcegnn_force_eval_repair_2026_08_14/REPORT.md.,,9745361,9745361.0,mc-egnn-hc-96-neutral-epoch,run_9745361_params_1.1_million,outputs/2026-06-05/19-49-19,hydra_run_dir,866,27697,1238644,1732.587384,True,38387292709273200,17684159,1780721179,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-96-neutral-epoch/mc_egnn/run_9745361_params_1.1_million/dim_96_step_step=250000.ckpt,legacy_shape,legacy,0.9,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_checkpoint_table.csv
egnn,MC-EGNN,96,300000,300000,1055050,1055050.0,True,runs_csv,519815889,checkpoint token_processed,28.09,84.27,4.621634388340995e+16,0.0053541532631745,0.033413004622672,0.0154110219726093,0.0983685532511657,0.5661193873673058,0.0022375611014347,0.3565056572410689,True,REPAIRED 2026-08-14: re-evaluated under the legacy_shape mu-P convention (width_mult=num_vectors/10) matching this checkpoint's actual training-time construction. See analysis_outputs/mcegnn_force_eval_repair_2026_08_14/REPORT.md.,,9745361,9745361.0,mc-egnn-hc-96-neutral-epoch,run_9745361_params_1.1_million,outputs/2026-06-05/19-49-19,hydra_run_dir,866,27697,1238644,1732.71963,True,46068267309913800,17684605,1780724847,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-96-neutral-epoch/mc_egnn/run_9745361_params_1.1_million/dim_96_step_step=300000.ckpt,legacy_shape,legacy,0.9,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_checkpoint_table.csv
egnn,MC-EGNN,96,350000,350000,1055050,1055050.0,True,runs_csv,606439939,checkpoint token_processed,28.09,84.27,5.391800704548713e+16,0.0050887624207802,0.0326581667338693,0.015124354132739,0.0965387524292733,0.5060006675695436,0.0020341781882394,0.3469234492210886,True,REPAIRED 2026-08-14: re-evaluated under the legacy_shape mu-P convention (width_mult=num_vectors/10) matching this checkpoint's actual training-time construction. See analysis_outputs/mcegnn_force_eval_repair_2026_08_14/REPORT.md.,,9745361,9745361.0,mc-egnn-hc-96-neutral-epoch,run_9745361_params_1.1_million,outputs/2026-06-05/19-49-19,hydra_run_dir,866,27697,1238644,1732.68554,True,53745254441923800,17685051,1780728475,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-96-neutral-epoch/mc_egnn/run_9745361_params_1.1_million/dim_96_step_step=350000.ckpt,legacy_shape,legacy,0.9,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_checkpoint_table.csv
egnn,MC-EGNN,96,400000,400000,1055050,1055050.0,True,runs_csv,693063315,checkpoint token_processed,28.09,84.27,6.16196102828555e+16,0.0050492923363035,0.0345340612673525,0.0162522506633689,0.103738115984284,0.4292737919725392,0.0017722195691072,0.3630628083645975,True,REPAIRED 2026-08-14: re-evaluated under the legacy_shape mu-P convention (width_mult=num_vectors/10) matching this checkpoint's actual training-time construction. See analysis_outputs/mcegnn_force_eval_repair_2026_08_14/REPORT.md.,,9745361,9745361.0,mc-egnn-hc-96-neutral-epoch,run_9745361_params_1.1_million,outputs/2026-06-05/19-49-19,hydra_run_dir,866,27697,1238644,1732.6582875,True,61422181841223000,17685433,1780732065,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-96-neutral-epoch/mc_egnn/run_9745361_params_1.1_million/dim_96_step_step=400000.ckpt,legacy_shape,legacy,0.9,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_checkpoint_table.csv
egnn,MC-EGNN,96,450000,450000,1055050,1055050.0,True,runs_csv,779691165,checkpoint token_processed,28.09,84.27,6.9321611299373976e+16,0.0048411353709021,0.0310313710749286,0.0143066826199125,0.0913195551629016,0.4149471247271907,0.0017163564406542,0.3274772751558299,True,REPAIRED 2026-08-14: re-evaluated under the legacy_shape mu-P convention (width_mult=num_vectors/10) matching this checkpoint's actual training-time construction. See analysis_outputs/mcegnn_force_eval_repair_2026_08_14/REPORT.md.,,9745361,9745361.0,mc-egnn-hc-96-neutral-epoch,run_9745361_params_1.1_million,outputs/2026-06-05/19-49-19,hydra_run_dir,866,27697,1238644,1732.6470333333334,True,69099505745193000,17685879,1780735564,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-96-neutral-epoch/mc_egnn/run_9745361_params_1.1_million/dim_96_step_step=450000.ckpt,legacy_shape,legacy,0.9,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_checkpoint_table.csv
egnn,MC-EGNN,96,500000,500000,1055050,1055050.0,True,runs_csv,866324237,checkpoint token_processed,28.09,84.27,7.702407659902205e+16,0.0048587588650092,0.0345713819159887,0.0164124247955697,0.1047605074701215,0.4501751757487138,0.0018133003140722,0.3638468223006096,True,REPAIRED 2026-08-14: re-evaluated under the legacy_shape mu-P convention (width_mult=num_vectors/10) matching this checkpoint's actual training-time construction. See analysis_outputs/mcegnn_force_eval_repair_2026_08_14/REPORT.md.,,9745361,9745361.0,mc-egnn-hc-96-neutral-epoch,run_9745361_params_1.1_million,outputs/2026-06-05/19-49-19,hydra_run_dir,866,27697,1238644,1732.648474,True,76777292444735400,17686325,1780739218,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-96-neutral-epoch/mc_egnn/run_9745361_params_1.1_million/dim_96_step_step=500000.ckpt,legacy_shape,legacy,0.9,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_checkpoint_table.csv
