architecture,budget_tier,owner_tag,m,trace_raw,trace_over_dim,symmetry_relative_max_error,min_eigenvalue,max_eigenvalue,alignment_A_Kx_y,checkpoint_sha256_verified,global_step_verified,m256_gate_pass,m256_gate_y_abs_diff,m256_gate_K_abs_diff,m256_gate_alignment_abs_diff,jacobian_seconds,gram_seconds,total_seconds,source_script,source_file
MPNN,LOW,mpnn_LOW_w607_s400000,1024,757911.9212931735,246.71612021262158,0.0,0.2284870534021035,169385.95654915343,0.018052123505545085,True,True,True,0.0,0.10164404631564139,7.203498161856281e-08,234.35626983642578,199.44226384162903,461.0311846733093,analysis_scripts/run_matched_compute_large_m_kernels.py,upstream-analysis/analysis_outputs/matched_compute_large_m_kernels_2026_08_22/kernels/mpnn_LOW_w607_s400000_m1024_metadata.json
MPNN,MID,mpnn_MID_w1150_s500000,1024,313757.4038404003,102.1345715626303,0.0,0.4426443699531665,20622.38786234185,0.0452474332812517,True,True,True,0.0,0.02973026987922367,3.025820642654775e-08,560.0393724441528,601.0287709236145,1191.737333536148,analysis_scripts/run_matched_compute_large_m_kernels.py,upstream-analysis/analysis_outputs/matched_compute_large_m_kernels_2026_08_22/kernels/mpnn_MID_w1150_s500000_m1024_metadata.json
MPNN,HIGH,mpnn_HIGH_w2557_s450000,1024,154819.99145411947,50.397132634804514,0.0,0.49057813928578764,6859.420566837215,0.050345856661209366,True,True,True,0.0,0.0016793434666055873,1.5693708409203477e-08,2623.3314657211304,3119.8297820091248,5787.38156080246,analysis_scripts/run_matched_compute_large_m_kernels.py,upstream-analysis/analysis_outputs/matched_compute_large_m_kernels_2026_08_22/kernels/mpnn_HIGH_w2557_s450000_m1024_metadata.json
MC-EGNN,LOW,egnn_LOW_w96_s100000,1024,365620.18546965305,119.01698745756936,0.0,2.5470139443328725e-12,311503.45658733044,0.005304029205394423,True,True,True,0.0,0.004708127096364478,1.816978809424108e-08,109.32916855812073,24.8740553855896,172.48358988761902,analysis_scripts/run_matched_compute_large_m_kernels.py,upstream-analysis/analysis_outputs/matched_compute_large_m_kernels_2026_08_22/kernels/egnn_LOW_w96_s100000_m1024_metadata.json
MC-EGNN,MID,egnn_MID_w96_s450000,1024,359563.44553040963,117.04539242526356,0.0,3.8033253342798326e-12,307390.54286155105,0.003075186605495302,True,True,True,0.0,0.010167598624320817,1.070681763040704e-08,106.78912281990051,25.045002698898315,172.57463765144348,analysis_scripts/run_matched_compute_large_m_kernels.py,upstream-analysis/analysis_outputs/matched_compute_large_m_kernels_2026_08_22/kernels/egnn_MID_w96_s450000_m1024_metadata.json
MC-EGNN,HIGH,egnn_HIGH_w320_s250000,1024,211536.61019899588,68.85957363248563,0.0,5.2040893304364046e-12,164068.97505009803,0.004776618097993003,True,True,True,0.0,0.006788710044929758,8.066052008606772e-09,418.82459020614624,240.4373927116394,688.2999482154846,analysis_scripts/run_matched_compute_large_m_kernels.py,upstream-analysis/analysis_outputs/matched_compute_large_m_kernels_2026_08_22/kernels/egnn_HIGH_w320_s250000_m1024_metadata.json
GemNet-OC,LOW,gemnet_oc_LOW_w48_s200000,1024,37401.868899832254,12.175087532497479,0.0,9.721839098550093e-13,4797.904874707441,0.6465712514848122,True,True,True,0.0,8.309368961079144e-05,1.9979472409836774e-08,104.04488015174866,13.556143283843994,140.2065258026123,analysis_scripts/run_matched_compute_large_m_kernels.py,upstream-analysis/analysis_outputs/matched_compute_large_m_kernels_2026_08_22/kernels/gemnet_oc_LOW_w48_s200000_m1024_metadata.json
GemNet-OC,MID,gemnet_oc_MID_w64_s500000,1024,31559.414440403852,10.273246888152295,0.0,1.1595632568270938e-12,3480.960205811721,0.5691011219551388,True,True,True,0.0,0.00016648618164794016,1.9369096215804404e-08,145.12202334403992,22.191542625427246,189.40044975280762,analysis_scripts/run_matched_compute_large_m_kernels.py,upstream-analysis/analysis_outputs/matched_compute_large_m_kernels_2026_08_22/kernels/gemnet_oc_MID_w64_s500000_m1024_metadata.json
GemNet-OC,HIGH,gemnet_oc_HIGH_w144_s500000,1024,18922.203694601518,6.159571515169765,0.0,1.2263173350938926e-12,1700.8691063939127,0.42702018334376396,True,True,True,0.0,8.945101733104366e-05,2.5176515483504858e-08,209.0063636302948,98.87448358535767,332.33296823501587,analysis_scripts/run_matched_compute_large_m_kernels.py,upstream-analysis/analysis_outputs/matched_compute_large_m_kernels_2026_08_22/kernels/gemnet_oc_HIGH_w144_s500000_m1024_metadata.json
eSEN,LOW,esen_LOW_w10_s50000,1024,32675.446373120376,10.63653853291679,0.0,3.584152504282074e-05,4700.691729837954,0.2228596362114001,True,True,True,0.0,0.0002896461763697289,1.5116763951716905e-08,249.13685655593872,26.50980496406555,297.98797965049744,analysis_scripts/run_matched_compute_large_m_kernels.py,upstream-analysis/analysis_outputs/matched_compute_large_m_kernels_2026_08_22/kernels/esen_LOW_w10_s50000_m1024_metadata.json
eSEN,MID,esen_MID_w16_s150000,1024,14072.161632537469,4.580781781424958,0.0,1.2046194910520374e-05,2372.199310704106,0.19968498407354182,True,True,True,0.0,2.5712455723692074e-05,2.6232849781315792e-09,286.738596200943,41.815170764923096,360.04463815689087,analysis_scripts/run_matched_compute_large_m_kernels.py,upstream-analysis/analysis_outputs/matched_compute_large_m_kernels_2026_08_22/kernels/esen_MID_w16_s150000_m1024_metadata.json
eSEN,HIGH,esen_HIGH_w40_s275000,1024,8615.511988209686,2.8045286419953404,0.0,4.091852532952665e-06,1694.2307314292257,0.15609647619496303,True,True,True,0.0,3.505906627765398e-05,2.2541205013659749e-10,339.61861538887024,143.4688754081726,510.2317464351654,analysis_scripts/run_matched_compute_large_m_kernels.py,upstream-analysis/analysis_outputs/matched_compute_large_m_kernels_2026_08_22/kernels/esen_HIGH_w40_s275000_m1024_metadata.json
