architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
MC-EGNN,matched-compute-HIGH,HIGH,1024,32,rho_0.0001,0.0001,common,0.5233330227043961,0.5129764820756144,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-HIGH,HIGH,1024,32,rho_0.01,0.01,common,0.536207767716752,0.5345317399833128,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-HIGH,HIGH,1024,32,rho_0.1,0.1,common,0.6323281773979996,0.6228148423370621,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-HIGH,HIGH,1024,32,rho_1e-06,1e-06,common,0.5233451868655496,0.512310828831416,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-HIGH,HIGH,1024,32,rho_1e-08,1e-08,common,0.5235609749596968,0.5122395123131657,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-HIGH,HIGH,1024,32,ridgeless,0.0,common,0.5236992148332662,0.5122896731540716,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-HIGH,HIGH,1024,64,rho_0.0001,0.0001,common,0.301811845462514,0.33483021984316585,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-HIGH,HIGH,1024,64,rho_0.01,0.01,common,0.31783541937285253,0.3564119108627255,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-HIGH,HIGH,1024,64,rho_0.1,0.1,common,0.4057989905342148,0.44214324650153164,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-HIGH,HIGH,1024,64,rho_1e-06,1e-06,common,0.3010206962055918,0.3345795544107114,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-HIGH,HIGH,1024,64,rho_1e-08,1e-08,common,0.30083303516976334,0.3343544737890443,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
