architecture,architecture_key,budget_tier,tag,width_label,width,global_step,N_trainable_params,D_atom_tokens,C_budget_flops,C_owner_flops,utilization,force_mse_norm,ckpt_path,checkpoint_sha256,checkpoint_global_step_from_audit,owner_reconstruction_audit_status,source_file
MC-EGNN,egnn,HIGH,egnn_HIGH_w320_s250000,hc,320,250000,10372498,433116378,4.5300417747619904e+17,3.78582870890503e+17,0.835716069992299,0.0034946079534482,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-320-neutral-epoch/mc_egnn/run_9745363_params_10.4_million/dim_320_step_step=250000.ckpt,1913be4e6529bee6df86819087bb4f31a80702867aa4dfea4b94274077fd6ee7,250000,PASS,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv ; dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/owner_reconstruction_audit.json
eSEN,esen,HIGH,esen_HIGH_w40_s275000,sphere_channels,40,275000,4253730,476605759,4.5300417747619904e+17,4.522617321737471e+17,0.998361063011409,0.0008361147460075,/network/scratch/m/michnikr/geometric_scaling_checkpoints_esen/esen-sphere-40-neutral-epoch/esen/run_9928671_params_4.3_million/dim_32_step_step=275000.ckpt,03c9c8ec73d9a160fbd3c45cb1e6174f4e0cc056ed94dd2df0913dbe1a2184a6,275000,PASS,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv ; dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/owner_reconstruction_audit.json
GemNet-OC,gemnet_oc,HIGH,gemnet_oc_HIGH_w144_s500000,width,144,500000,4236240,866390858,4.5300417747619904e+17,3.873570882593403e+17,0.8550850246401803,0.0012216940107775,/network/scratch/m/michnikr/geometric_scaling_checkpoints_gemnet_oc/gemnet-oc-atom144-neutral-epoch/gemnet_oc/run_9816222_params_4.2_million/dim_144_step_step=500000.ckpt,0c87d81da5e26d69d272d0007432fe059d458285d273bb9e481c600eb8015a19,500000,PASS,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv ; dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/owner_reconstruction_audit.json
MPNN,mpnn,HIGH,mpnn_HIGH_w2557_s450000,hc,2557,450000,78984522,779777582,4.5300417747619904e+17,4.305166134682947e+17,0.9503590361281253,0.0080524201064766,/network/scratch/m/michnikr/geometric_scaling_checkpoints_corrected_stats/dim-2557-neutral-epoch-corrected-stats/mpnn/run_10325229_params_79.0_million/dim_2557_step_step=450000.ckpt,6df8f674edd0a4488449e4255e8b401e11f19249c29913558940b4dcb9c76ed0,450000,PASS,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv ; dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/owner_reconstruction_audit.json
MC-EGNN,egnn,LOW,egnn_LOW_w96_s100000,hc,96,100000,1055050,173280589,2.2946971642918196e+16,1.5406214890718402e+16,0.671383358573723,0.0080014705545307,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-96-neutral-epoch/mc_egnn/run_9745361_params_1.1_million/dim_96_step_step=100000.ckpt,30d7986dc7f86d1ad0af3ddc5c189a1e46e440daa5f9cc878f92e70b77ab5705,100000,PASS,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv ; dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/owner_reconstruction_audit.json
eSEN,esen,LOW,esen_LOW_w10_s50000,sphere_channels,10,50000,1089390,86650769,2.2946971642918196e+16,2.10579670352222e+16,0.9176795684811432,0.0060544097484207,/network/scratch/m/michnikr/geometric_scaling_checkpoints_esen/esen-sphere-10-neutral-epoch/esen/run_9741255_params_1.1_million/dim_32_step_step=50000.ckpt,c839ef8fcf38f2bdfec7d9cdef8d92594bef88b51f890cad0a1eba83baa6d2d3,50000,PASS,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv ; dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/owner_reconstruction_audit.json
GemNet-OC,gemnet_oc,LOW,gemnet_oc_LOW_w48_s200000,width,48,200000,575472,346647268,2.2946971642918196e+16,2.1053730974271748e+16,0.9174949663028528,0.003287852691115,/network/scratch/m/michnikr/geometric_scaling_checkpoints_gemnet_oc/gemnet-oc-atom48-neutral-epoch/gemnet_oc/run_9816221_params_575.5_thousand/dim_48_step_step=200000.ckpt,a77cfa67e248209a707d1d5555b930f4dff17422468698ea55640868980c9b22,200000,PASS,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv ; dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/owner_reconstruction_audit.json
MPNN,mpnn,LOW,mpnn_LOW_w607_s400000,hc,607,400000,4546197,693100729,2.2946971642918196e+16,2.202529745959452e+16,0.9598346048591506,0.0157542140583355,/network/scratch/m/michnikr/geometric_scaling_checkpoints_corrected_stats/dim-607-neutral-epoch-corrected-stats/mpnn/run_9782261_params_4.5_million/dim_607_step_step=400000.ckpt,8b4c7083fcef7edccbbe9bf3e4b477be37233ffead8dff55fef4a3755807b1de,400000,PASS,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv ; dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/owner_reconstruction_audit.json
MC-EGNN,egnn,MID,egnn_MID_w96_s450000,hc,96,450000,1055050,779691165,1.0195623578119141e+17,6.9321611299373976e+16,0.6799153653352337,0.0048411353709021,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-96-neutral-epoch/mc_egnn/run_9745361_params_1.1_million/dim_96_step_step=450000.ckpt,c8e08595eb3e8a5c8279ef6498ac6ae03006716070dc4ec9c17b9db3ae360710,450000,PASS,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv ; dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/owner_reconstruction_audit.json
eSEN,esen,MID,esen_MID_w16_s150000,sphere_channels,16,150000,1722258,259964327,1.0195623578119141e+17,9.987863619290285e+16,0.9796226334527758,0.001978949702442,/network/scratch/m/michnikr/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch/esen/run_9721383_params_1.7_million/dim_32_step_step=150000.ckpt,1d7e8d23a3c29310c08925648eaf217d69cb62122011febf2805ccd23599abbf,150000,PASS,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv ; dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/owner_reconstruction_audit.json
