budget_tier,architecture_a,architecture_b,nn_favors,krr_favors_point_estimate,log_ratio_mean_a_over_b_at_n512,bootstrap_ci_lo_2.5pct,bootstrap_ci_hi_97.5pct,n_boot,n_paired_splits,status
LOW,MPNN,MC-EGNN,MC-EGNN,MC-EGNN,1.7104581210081573,1.5932446652577017,1.8352630731607458,2000,20,concordant
LOW,MPNN,GemNet-OC,GemNet-OC,GemNet-OC,3.586867472877399,3.4213433826461066,3.7542656202491385,2000,20,concordant
LOW,MPNN,eSEN,eSEN,eSEN,2.7137935162743556,2.5290658955032708,2.896714002301607,2000,20,concordant
LOW,MC-EGNN,GemNet-OC,GemNet-OC,GemNet-OC,1.8764093518692415,1.7006884865920306,2.0603779062257126,2000,20,concordant
LOW,MC-EGNN,eSEN,eSEN,eSEN,1.0033353952661979,0.8463572226872051,1.1429693215332304,2000,20,concordant
LOW,GemNet-OC,eSEN,GemNet-OC,GemNet-OC,-0.8730739566030433,-1.045916493764925,-0.7015263858217214,2000,20,concordant
MID,MPNN,MC-EGNN,MC-EGNN,MC-EGNN,1.6626127123060954,1.5045533656577972,1.8180080637666856,2000,20,concordant
MID,MPNN,GemNet-OC,GemNet-OC,GemNet-OC,3.7335530358424007,3.5301298765167894,3.933970225821914,2000,20,concordant
MID,MPNN,eSEN,eSEN,eSEN,3.397992022018807,3.152438547618385,3.6560310489684404,2000,20,concordant
MID,MC-EGNN,GemNet-OC,GemNet-OC,GemNet-OC,2.0709403235363055,1.8728316595632857,2.279963566580518,2000,20,concordant
MID,MC-EGNN,eSEN,eSEN,eSEN,1.735379309712712,1.555368337207531,1.9299135507381138,2000,20,concordant
MID,GemNet-OC,eSEN,GemNet-OC,GemNet-OC,-0.3355610138235932,-0.5474065125882495,-0.13842780604754437,2000,20,concordant
HIGH,MPNN,MC-EGNN,MC-EGNN,MC-EGNN,1.3733699817278764,1.217550205442042,1.5152934099527193,2000,20,concordant
HIGH,MPNN,GemNet-OC,GemNet-OC,GemNet-OC,3.9443976645494074,3.7768016961784423,4.10983169428884,2000,20,concordant
HIGH,MPNN,eSEN,eSEN,eSEN,3.5577195888593236,3.2589984143829573,3.860962449385297,2000,20,concordant
HIGH,MC-EGNN,GemNet-OC,GemNet-OC,GemNet-OC,2.571027682821531,2.331616160894354,2.830770809646015,2000,20,concordant
HIGH,MC-EGNN,eSEN,eSEN,eSEN,2.184349607131448,1.858268065400167,2.5521731642788246,2000,20,concordant
HIGH,GemNet-OC,eSEN,eSEN,GemNet-OC,-0.38667807569008344,-0.6518903518249106,-0.12342702923828595,2000,20,discordant
