budget_tier,architecture,owner_tag,force_mse_norm,nn_rank,krr_auc_log_nmse_n32_512,krr_rank,concordant_with_nn,auc_statistic_definition
LOW,MPNN,mpnn_LOW_w607_s400000,0.0157542140583355,4,-0.756441429005599,4,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary"
LOW,MC-EGNN,egnn_LOW_w96_s100000,0.0080014705545307,3,-1.9665246898740456,3,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary"
LOW,GemNet-OC,gemnet_oc_LOW_w48_s200000,0.003287852691115,1,-4.330960466814164,1,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary"
LOW,eSEN,esen_LOW_w10_s50000,0.0060544097484207,2,-3.166923873277,2,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary"
MID,MPNN,mpnn_MID_w1150_s500000,0.0109093944632446,4,-0.8223872916049509,4,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary"
MID,MC-EGNN,egnn_MID_w96_s450000,0.0048411353709021,3,-1.9438228359261522,3,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary"
MID,GemNet-OC,gemnet_oc_MID_w64_s500000,0.001844648895683,1,-4.724372905254924,1,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary"
MID,eSEN,esen_MID_w16_s150000,0.001978949702442,2,-3.3941421809030823,2,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary"
HIGH,MPNN,mpnn_HIGH_w2557_s450000,0.0080524201064766,4,-0.7986623812168174,4,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary"
HIGH,MC-EGNN,egnn_HIGH_w320_s250000,0.0034946079534482,3,-1.7898971985862417,3,True,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary"
HIGH,GemNet-OC,gemnet_oc_HIGH_w144_s500000,0.0012216940107775,2,-4.176712099855525,1,False,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary"
HIGH,eSEN,esen_HIGH_w40_s275000,0.0008361147460075,1,-3.175968439585378,2,False,"trapezoid(log(ridgeless_nmse_median), log(n)) / (log(n_max)-log(n_min)), n in {32,64,128,256,512}; lower=better; reused from analyze_four_arch_matched_compute_frontier_kernel.py::auc_summary"
