stratum,domain,tag,n_configs,insufficient_n,L_base,delta,delta_ci_lo,delta_ci_hi,A,A_ci_lo,A_ci_hi,source_file
elytes,OOD,w10/50k,10867,False,0.023096233156338346,0.0846923137634539,0.0807378715686079,0.08846181786769196,0.0020412943961467186,0.002011709788683324,0.0020694011878125513,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
elytes,OOD,w16/150k,10867,False,0.01091419820520017,0.502737320692324,0.485896699330584,0.518598189241656,0.0071295966425976715,0.007066140213151582,0.007194818870190439,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
elytes,OOD,w20/200k,10867,False,0.009067941281723413,0.6417542168370538,0.620384277922743,0.6607549412659104,0.008159430027332033,0.008070130825773129,0.008245085104603539,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
elytes,OOD,w24/300k,10867,False,0.007230663208795873,0.428915877231103,0.41329462194443534,0.4435152456299405,0.0038726842899710606,0.0038331086304536346,0.003911110381740417,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
biomolecules,OOD,w10/50k,3286,False,0.019366762806557972,0.11675513485663006,0.11366482129307133,0.12005982917699023,0.0023984613572034068,0.002355794233047374,0.0024399891714645245,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
biomolecules,OOD,w16/150k,3286,False,0.009578140458406903,0.7406725833767056,0.7259873179587457,0.7557823704027938,0.010510531054981892,0.010396633119543443,0.010630712849619996,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
biomolecules,OOD,w20/200k,3286,False,0.00796395355630307,0.7487255949328597,0.7331589210145527,0.764604562867576,0.008874263865734323,0.008758822446304475,0.008999849703440947,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
biomolecules,OOD,w24/300k,3286,False,0.006194060446932111,0.5434786435756297,0.5281094143486899,0.5592306332670273,0.004472028847593082,0.004389753728206528,0.004559351466408349,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
reactivity,OOD,w10/50k,1749,False,0.05208456892595158,0.02595339645012812,0.023310709461576252,0.02854829331543483,0.00136946574052043,0.0012466016337476754,0.0014867662483666084,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
reactivity,OOD,w16/150k,1749,False,0.029949429272083546,0.1922436074697581,0.17935460982482035,0.20601980128766867,0.00634825248628865,0.0060464795131233385,0.006645588386602249,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
reactivity,OOD,w20/200k,1749,False,0.027506866965648243,0.2537279279015143,0.23817930955891675,0.2700506316527093,0.007944563692843739,0.007628362411468086,0.008281414235082923,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
reactivity,OOD,w24/300k,1749,False,0.023491513402421133,0.17464047784681197,0.1631616115972007,0.18715247622420544,0.004482603937681465,0.004290459156359974,0.00467672861699684,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
metal_complexes,OOD,w10/50k,32,True,,,,,,,,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
metal_complexes,OOD,w16/150k,32,True,,,,,,,,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
metal_complexes,OOD,w20/200k,32,True,,,,,,,,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/domain_decomposition_M16384.csv
