owner,C_flops,depth,alpha,P_bal,delta,delta_ci_lo,delta_ci_hi,source_file
w10/50k,2.399e+16,3,1.0,0.0,5.2110173953678895e-09,-1.8584595828929905e-08,2.87768022078083e-08,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w10/50k,2.399e+16,3,0.75,0.0442320042986284,0.09832651979647089,0.08983495489103423,0.10793897940721499,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w10/50k,2.399e+16,3,0.5,0.0884640085972568,0.278603802956388,0.2581021363312352,0.30107875067926315,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w10/50k,2.399e+16,3,0.25,0.1326960128958852,0.4707729233639504,0.43943258932296164,0.5034519410108537,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w10/50k,2.399e+16,3,0.0,0.1769280171945136,0.6544269087930936,0.6144059513827023,0.6947561223131813,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w10/50k,2.399e+16,6,1.0,0.0,-5.457099661043685e-09,-2.9328553541319024e-08,1.7519072348370906e-08,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w10/50k,2.399e+16,6,0.75,0.036316850813036816,0.09786764462413666,0.08919906395835653,0.10755824494221337,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w10/50k,2.399e+16,6,0.5,0.07263370162607363,0.28441737142866064,0.26267014765546276,0.30788388336417877,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w10/50k,2.399e+16,6,0.25,0.10895055243911045,0.47930826297781604,0.44661553597414433,0.5139726007728999,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w10/50k,2.399e+16,6,0.0,0.14526740325214726,0.6617148688161567,0.6205827115397686,0.7045252912215481,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
