l4_flops,l2_flops,matched_compute,domain,H_force,ci_low,ci_high,ci_note,H_force_bootstrap_M16384_ID_pool_cross_check,ci_low_bootstrap_M16384_ID_pool,ci_high_bootstrap_M16384_ID_pool,valid_match,l4_width,l4_step,l2_width,l2_step
374938517769536.3,371997321504363.0,True,Neutral_val,-0.46644099709727005,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.32412065499164155,-0.3287606700030735,-0.3195825061913262,True,16,500,16,2000
374938517769536.3,371997321504363.0,True,Val_Comp_support_matched,-0.343421052700815,-0.3481597652390565,-0.3387624992068916,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,500,16,2000
751538457555637.8,744330809938799.5,True,Neutral_val,-0.4842478219203401,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.31697350833694626,-0.32118888366479664,-0.3127343898418546,True,16,1000,16,4000
751538457555637.8,744330809938799.5,True,Val_Comp_support_matched,-0.2575276988505064,-0.2614310907686539,-0.25368101030127255,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,1000,16,4000
1124661685921018.5,1116735697609422.0,True,Neutral_val,-0.4019273294139878,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.29912951841949864,-0.3032812528359631,-0.29488383816254976,True,16,1500,16,6000
1124661685921018.5,1116735697609422.0,True,Val_Comp_support_matched,-0.2555614461567095,-0.2600002568762885,-0.2510672152723703,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,1500,16,6000
1497491874711157.0,1338247520975093.2,True,Neutral_val,-0.500651811283999,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.38007029701434103,-0.3849387254060056,-0.3752419252755684,True,16,2000,4,25000
1497491874711157.0,1338247520975093.2,True,Val_Comp_support_matched,-0.2959583964879027,-0.30100428057397577,-0.2912925382485927,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,2000,4,25000
2245119248024365.5,2232332765294401.8,True,Neutral_val,-0.3347881675632416,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.2780997716212448,-0.2830183724220855,-0.27324421413345584,True,16,3000,16,12000
2245119248024365.5,2232332765294401.8,True,Val_Comp_support_matched,-0.2806928860507667,-0.2867746572132807,-0.27406085597706303,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,3000,16,12000
2621104582683631.5,2604716716346894.5,True,Neutral_val,-0.3239762610911412,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.27240989656468884,-0.27739374438157155,-0.26733106418535635,True,16,3500,16,14000
2621104582683631.5,2604716716346894.5,True,Val_Comp_support_matched,-0.2763337352006281,-0.28274106714015557,-0.26921901842011453,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,3500,16,14000
