l4_id,l4_width,l4_step,l4_flops,l4_force_loss_neutral,l2_id,l2_width,l2_step,l2_flops,l2_force_loss_neutral,compute_ratio_l2_over_l4,log10_compute_difference,matching_rule,valid_match,l2_is_frontier_owner,l4_is_beyond_C_common_max
esen_lmax4_w16_s500,16,500,374938517769536.3,0.0858654804381501,esen_lmax2_w16_s2000,16,2000,371997321504363.0,0.0538574582026028,0.992155523837161,-0.0034202453355439825,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s1000,16,1000,751538457555637.8,0.0553932115951806,esen_lmax2_w16_s4000,16,4000,744330809938799.5,0.0341311081174941,0.9904094759963702,-0.004185213080372221,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s1500,16,1500,1124661685921018.5,0.0423907939792023,esen_lmax2_w16_s6000,16,6000,1116735697609422.0,0.0283606858793904,0.9929525577239651,-0.003071501163128728,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s2000,16,2000,1497491874711157.0,0.036448406755137,esen_lmax2_w4_s25000,4,25000,1338247520975093.2,0.0220926712481111,0.8936592869548761,-0.04882802706428202,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s2500,16,2500,1871800659942156.5,0.0329860328631066,esen_lmax2_w16_s12000,16,12000,2232332765294401.8,0.0218366946284089,1.1926124469703876,0.07649933764626829,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",False,True,False
esen_lmax4_w16_s3000,16,3000,2245119248024365.5,0.0305199315045545,esen_lmax2_w16_s12000,16,12000,2232332765294401.8,0.0218366946284089,0.994304764550384,-0.002480479510164208,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s3500,16,3500,2621104582683631.5,0.0284377273465732,esen_lmax2_w16_s14000,16,14000,2604716716346894.5,0.0205680814541566,0.9937477251213082,-0.0027238525175046833,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s4000,16,4000,2996337004451936.0,0.0267202705225539,esen_lmax2_w4_s50000,4,50000,2676750352357380.5,0.0175709207991232,0.893340885347771,-0.048982789290499366,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s4500,16,4500,3370070083614760.0,0.0253706371393398,esen_lmax2_w16_s20500,16,20500,3815069267199963.0,0.0173473226260845,1.1320444894451256,0.05386349499787745,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s5000,16,5000,3745876050392425.0,0.0242997809906337,esen_lmax2_w16_s20500,16,20500,3815069267199963.0,0.0173473226260845,1.0184718383301254,0.007949024865964204,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
