arch,width,step,seed,run_id,run_name,C_flops,used_in_valid_pair,checkpoint_path
lmax4,16,500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,374938517769536.3,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=500.ckpt
lmax4,16,1000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,751538457555637.8,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=1000.ckpt
lmax4,16,1500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1124661685921018.5,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=1500.ckpt
lmax4,16,2000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1497491874711157.0,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=2000.ckpt
lmax4,16,2500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1871800659942156.5,False,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=2500.ckpt
lmax4,16,3000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,2245119248024365.5,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=3000.ckpt
lmax4,16,3500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,2621104582683631.5,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=3500.ckpt
lmax4,16,4000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,2996337004451936.0,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=4000.ckpt
lmax4,16,4500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3370070083614760.0,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=4500.ckpt
lmax4,16,5000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3745876050392425.0,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=5000.ckpt
lmax4,16,5500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,4119393888097328.5,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=5500.ckpt
lmax4,16,6000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,4495469555015039.0,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=6000.ckpt
