owner_id,checkpoint_path,seed,width_sphere_channels,step,N_trainable_params,D_atom_tokens,C_flops,force_mse_norm_full_neutral_val,first_budget_owned_Cflops,last_budget_owned_Cflops_exclusive,unbounded_top_owner,source
esen_lmax4_w16_s500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=500.ckpt,1,16,500,1722258,867488,374938517769536.3,0.0858654804381501,374938517769536.3,751538457555637.8,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s1000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=1000.ckpt,1,16,1000,1722258,1738820,751538457555637.8,0.0553932115951806,751538457555637.8,1124661685921018.5,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s1500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=1500.ckpt,1,16,1500,1722258,2602108,1124661685921018.5,0.0423907939792023,1124661685921018.5,1497491874711157.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s2000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=2000.ckpt,1,16,2000,1722258,3464718,1497491874711157.0,0.036448406755137,1497491874711157.0,1871800659942156.5,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s2500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=2500.ckpt,1,16,2500,1722258,4330749,1871800659942156.5,0.0329860328631066,1871800659942156.5,2245119248024365.5,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s3000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=3000.ckpt,1,16,3000,1722258,5194489,2245119248024365.5,0.0305199315045545,2245119248024365.5,2621104582683631.5,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s3500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=3500.ckpt,1,16,3500,1722258,6064399,2621104582683631.5,0.0284377273465732,2621104582683631.5,2996337004451936.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s4000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=4000.ckpt,1,16,4000,1722258,6932567,2996337004451936.0,0.0267202705225539,2996337004451936.0,3370070083614760.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s4500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=4500.ckpt,1,16,4500,1722258,7797266,3370070083614760.0,0.0253706371393398,3370070083614760.0,3745876050392425.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s5000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=5000.ckpt,1,16,5000,1722258,8666761,3745876050392425.0,0.0242997809906337,3745876050392425.0,4119393888097328.5,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s5500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=5500.ckpt,1,16,5500,1722258,9530962,4119393888097328.5,0.0233603599634533,4119393888097328.5,4495469555015039.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s6000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=6000.ckpt,1,16,6000,1722258,10401081,4495469555015039.0,0.0225289185648659,4495469555015039.0,4867693782913600.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s6500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=6500.ckpt,1,16,6500,1722258,11262289,4867693782913600.0,0.0216951757719456,4867693782913600.0,5242354388519595.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s7000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=7000.ckpt,1,16,7000,1722258,12129134,5242354388519595.0,0.020954904728569,5242354388519595.0,5615213535497848.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s7500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=7500.ckpt,1,16,7500,1722258,12991811,5615213535497848.0,0.0202627171717657,5615213535497848.0,5988232168616608.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s8000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=8000.ckpt,1,16,8000,1722258,13854857,5988232168616608.0,0.0196055824896342,5988232168616608.0,6362128191614044.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s8500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=8500.ckpt,1,16,8500,1722258,14719933,6362128191614044.0,0.0190368797310131,6362128191614044.0,6733491885892682.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s9000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=9000.ckpt,1,16,9000,1722258,15579150,6733491885892682.0,0.0185028134657534,6733491885892682.0,7108429107026930.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s9500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=9500.ckpt,1,16,9500,1722258,16446635,7108429107026930.0,0.0180351635442259,7108429107026930.0,7483910482770661.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s10000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=10000.ckpt,1,16,10000,1722258,17315379,7483910482770661.0,0.0175945007530746,7483910482770661.0,7859286398844246.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s10500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=10500.ckpt,1,16,10500,1722258,18183879,7859286398844246.0,0.0171280736326805,7859286398844246.0,8233573573487101.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s11000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=11000.ckpt,1,16,11000,1722258,19049860,8233573573487101.0,0.0166942876274052,8233573573487101.0,8610187776261378.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s11500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=11500.ckpt,1,16,11500,1722258,19921225,8610187776261378.0,0.0162625138324687,8610187776261378.0,8986355504284586.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s12000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=12000.ckpt,1,16,12000,1722258,20791557,8986355504284586.0,0.0158309743924638,8986355504284586.0,9361686470334830.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s12500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=12500.ckpt,1,16,12500,1722258,21659953,9361686470334830.0,0.0154323450165454,9361686470334830.0,9551483695195872.0,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w8_s25000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=25000.ckpt,1,8,25000,878434,43327470,9551483695195872.0,0.011699229207962,9551483695195872.0,1.3482950538730202e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s18000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=18000.ckpt,1,16,18000,1722258,31195242,1.3482950538730202e+16,0.0116263247862905,1.3482950538730202e+16,1.3856899723774472e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s18500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=18500.ckpt,1,16,18500,1722258,32060441,1.3856899723774472e+16,0.011313159932064,1.3856899723774472e+16,1.4231963582955248e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s19000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=19000.ckpt,1,16,19000,1722258,32928219,1.4231963582955248e+16,0.0110161850391833,1.4231963582955248e+16,1.4605464564401398e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s19500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=19500.ckpt,1,16,19500,1722258,33792381,1.4605464564401398e+16,0.0106994099186423,1.4605464564401398e+16,1.4981944349317416e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s20000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=20000.ckpt,1,16,20000,1722258,34663435,1.4981944349317416e+16,0.0103731664572734,1.4981944349317416e+16,1.5357732163201038e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s20500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=20500.ckpt,1,16,20500,1722258,35532888,1.5357732163201038e+16,0.0100749498584058,1.5357732163201038e+16,1.5733252870215194e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s21000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=21000.ckpt,1,16,21000,1722258,36401723,1.5733252870215194e+16,0.0098124631766851,1.5733252870215194e+16,1.6107530536199264e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s21500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=21500.ckpt,1,16,21500,1722258,37267682,1.6107530536199264e+16,0.0095606241289173,1.6107530536199264e+16,1.6480914820469434e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s22000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=22000.ckpt,1,16,22000,1722258,38131574,1.6480914820469434e+16,0.0093437863137964,1.6480914820469434e+16,1.6856397492848454e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s22500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=22500.ckpt,1,16,22500,1722258,39000321,1.6856397492848454e+16,0.0091264934614962,1.6856397492848454e+16,1.7230053638317482e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s23000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=23000.ckpt,1,16,23000,1722258,39864842,1.7230053638317482e+16,0.0089256719937607,1.7230053638317482e+16,1.7603468609622818e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s23500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=23500.ckpt,1,16,23500,1722258,40728805,1.7603468609622818e+16,0.0087185620024314,1.7603468609622818e+16,1.7976237856554388e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s24000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=24000.ckpt,1,16,24000,1722258,41591274,1.7976237856554388e+16,0.0085161862942346,1.7976237856554388e+16,1.8352342913871976e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s24500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=24500.ckpt,1,16,24500,1722258,42461461,1.8352342913871976e+16,0.0083280059681182,1.8352342913871976e+16,1.872664219044419e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s25000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=25000.ckpt,1,16,25000,1722258,43327470,1.872664219044419e+16,0.0081481467757705,1.872664219044419e+16,1.9100585756735544e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s25500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=25500.ckpt,1,16,25500,1722258,44192656,1.9100585756735544e+16,0.0079845704289376,1.9100585756735544e+16,1.9104789619204656e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w8_s50000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=50000.ckpt,1,8,50000,878434,86663206,1.9104789619204656e+16,0.0070184656575738,1.9104789619204656e+16,2.029522048725557e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w4_s100000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-4-neutral-epoch/esen/run_9714661_params_456.5_thousand/dim_32_step_step=100000.ckpt,1,4,100000,456522,173258085,2.029522048725557e+16,0.0065441228689703,2.029522048725557e+16,2.397277065207738e+16,False,empirical_lmax_adversarial_audit_2026_08_13
