lmax4_tag,lmax2_tag,domain,M,L_lmax4,L_lmax2,H_force,H_ci_lo,H_ci_hi,lmax4_advantage_significant,source_file
w10/50k,esen_lmax2_LOWtrue_w16_s125000,ID,1024,0.023694757654994156,0.019444967215675596,-0.19766554607834452,-0.22216292761577072,-0.1759766305107805,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w10/50k,esen_lmax2_LOWtrue_w16_s125000,ID,2048,0.023706290156928166,0.019256451382181242,-0.20789427906736924,-0.22177985017965235,-0.1942280550952884,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w10/50k,esen_lmax2_LOWtrue_w16_s125000,ID,4096,0.023528531336475006,0.019137260146956686,-0.20657655639061412,-0.21655261652161317,-0.1978335820857823,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w10/50k,esen_lmax2_LOWtrue_w16_s125000,ID,8192,0.022907688958843472,0.018655493566783244,-0.20533195266271997,-0.21134256652740907,-0.19910206718345297,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w10/50k,esen_lmax2_LOWtrue_w16_s125000,ID,16384,0.02288126408597641,0.01868583875260767,-0.20255246248053282,-0.20667600301881406,-0.19832042575227052,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w10/50k,esen_lmax2_LOWtrue_w16_s125000,OOD,1024,0.021078557584718365,0.017629720751347718,-0.17867013867702175,-0.21684467931332418,-0.13987216532421662,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w10/50k,esen_lmax2_LOWtrue_w16_s125000,OOD,2048,0.021501561477693772,0.017946089573219956,-0.18075331923869298,-0.20832041655865385,-0.15221333617013372,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w10/50k,esen_lmax2_LOWtrue_w16_s125000,OOD,4096,0.022958204747257693,0.019592482420647695,-0.15852943524846896,-0.18226919312859827,-0.1364619821412619,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w10/50k,esen_lmax2_LOWtrue_w16_s125000,OOD,8192,0.022683538787591283,0.019288533544811512,-0.16212869538251384,-0.17792123713015506,-0.14710981752495164,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w10/50k,esen_lmax2_LOWtrue_w16_s125000,OOD,16384,0.022676041512334915,0.01926394417315614,-0.16307375599906138,-0.1741071262813293,-0.1521808812396674,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w16/150k,esen_lmax2_MIDtrue_w32_s300000,ID,1024,0.011627312695639512,0.010726749208603597,-0.08061632535895136,-0.10218711804273864,-0.05946904760233292,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w16/150k,esen_lmax2_MIDtrue_w32_s300000,ID,2048,0.011260685928752715,0.010415109007591012,-0.07805999709061506,-0.09298767535090588,-0.062462976582068785,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w16/150k,esen_lmax2_MIDtrue_w32_s300000,ID,4096,0.011183429339611955,0.010308134862079826,-0.08149978352824228,-0.09191345027258227,-0.07108105424741769,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w16/150k,esen_lmax2_MIDtrue_w32_s300000,ID,8192,0.010804300466465437,0.009971751435604387,-0.0801880070948,-0.08696959706006643,-0.0730645170931549,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w16/150k,esen_lmax2_MIDtrue_w32_s300000,ID,16384,0.01081115041303732,0.009954958767761599,-0.08250725153096283,-0.08790953614682687,-0.07716935152898644,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w16/150k,esen_lmax2_MIDtrue_w32_s300000,OOD,1024,0.010262477954459275,0.009526890280800384,-0.07437597061104562,-0.09993159352657832,-0.04922812600505732,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
