tag,M,A_OOD,A_ID_Neutral,A_OOD_minus_A_Neutral,ci_lo,ci_hi,ci_excludes_zero,source_file
w10/50k,1024,0.0021026210826575534,0.0022592427948771553,-0.0001566217122196019,-0.0003216012801538958,7.996538332588613e-06,False,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w10/50k,2048,0.002111398188338401,0.002219392706616769,-0.00010799451827836828,-0.0002210898633656172,9.21883906153755e-06,False,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w10/50k,4096,0.002134456098009309,0.002171328606637154,-3.6872508627844996e-05,-0.0001216261346770154,4.5979927956265703e-05,False,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w10/50k,8192,0.002137351342792672,0.0021744621978041882,-3.711085501151637e-05,-9.5619644099049e-05,2.3466261533826214e-05,False,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w10/50k,16384,0.0021266271624282886,0.002169102860665576,-4.2475698237287585e-05,-8.629003983186712e-05,-2.0792350529546316e-06,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w16/150k,1024,0.007967338822662845,0.010195824761631854,-0.002228485938969009,-0.0027368027765750287,-0.0017521074067357151,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w16/150k,2048,0.008003381342406423,0.010254169935655063,-0.0022507885932486395,-0.00262915404224069,-0.0019077890124510786,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w16/150k,4096,0.008030803709157841,0.010184687414244727,-0.0021538837050868852,-0.0024135370061852185,-0.0019125110531873822,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w16/150k,8192,0.00807883962744242,0.010235779348245022,-0.0021569397208026017,-0.002333309028555177,-0.0019777400636528156,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w16/150k,16384,0.008103569430553976,0.010248049961383008,-0.0021444805308290325,-0.0022674235352177514,-0.00201354687662239,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w20/200k,1024,0.008248787973682564,0.011849755395506935,-0.0036009674218243706,-0.004435859780606563,-0.0027846543676149117,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w20/200k,2048,0.008324512202658368,0.011919304105758222,-0.0035947919030998535,-0.004227839533470404,-0.002984153255572446,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w20/200k,4096,0.008377576250553633,0.011705707957375754,-0.0033281317068221215,-0.003759354416409917,-0.002944430272767625,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w20/200k,8192,0.008410185308206052,0.011889008401773513,-0.0034788230935674617,-0.003785712751112897,-0.003180498868551118,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w20/200k,16384,0.008407309944141282,0.011935325253909643,-0.003528015309768361,-0.003742759157979589,-0.0033126941912303164,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w24/300k,1024,0.004061819743481515,0.006329700079008255,-0.002267880335526741,-0.002761305872540836,-0.0018072309313132027,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w24/300k,2048,0.0040546023322693735,0.006423119249266579,-0.002368516916997206,-0.002732252802127667,-0.0020173033318704645,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w24/300k,4096,0.004086797707003453,0.006273902823754591,-0.0021871051167511382,-0.0024396201644043608,-0.0019572998228156863,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w24/300k,8192,0.004075998322686832,0.006330788331162145,-0.002254790008475313,-0.0024312927496251834,-0.002080769549330369,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
w24/300k,16384,0.004084323258939948,0.0063574836764767806,-0.002273160417536832,-0.0023969532738386903,-0.0021530392250647145,True,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/A_OOD_minus_A_Neutral.csv
