tag,domain,M,n_configs,P_bal_read_x,L_base,L_intervened,relative_effect_log_ratio,relative_effect_ci_lo,relative_effect_ci_hi,absolute_excess_A,absolute_excess_A_ci_lo,absolute_excess_A_ci_hi,source_file
w10/50k,ID,1024,1024,0.0726834500856088,0.023694757654994156,0.02595400044987131,0.09107192996661193,0.08244397586169931,0.10040401019001005,0.0022592427948771553,0.002118291286125345,0.0024021127223676185,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w10/50k,ID,2048,2048,0.0726834500856088,0.023706290156928166,0.025925682863544935,0.08949367333978245,0.08357874443683729,0.0962662437811694,0.002219392706616769,0.0021242222659427178,0.0023215150243735792,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w10/50k,ID,4096,4096,0.0726834500856088,0.023528531336475006,0.02569985994311216,0.08827175805009732,0.08410078656171864,0.09286832302841634,0.002171328606637154,0.0021022831022319503,0.002242402823014253,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w10/50k,ID,8192,8192,0.0726834500856088,0.022907688958843472,0.02508215115664766,0.09068386728316145,0.08735454887770934,0.09373740347694987,0.0021744621978041882,0.0021237396441039285,0.002223529207666081,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w10/50k,ID,16384,16384,0.0726834500856088,0.02288126408597641,0.025050366946641985,0.09057006249371777,0.08852881530029397,0.09287972313858409,0.002169102860665576,0.0021353057287994194,0.0022060900112406794,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w10/50k,OOD,1024,1024,0.0726834500856088,0.021078557584718365,0.02318117866737592,0.0950843895223826,0.0827813461377604,0.10621485450612037,0.0021026210826575534,0.002008246130323061,0.002194184816267801,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w10/50k,OOD,2048,2048,0.0726834500856088,0.021501561477693772,0.023612959666032173,0.09367014033555554,0.08534121286373339,0.10208328481497748,0.002111398188338401,0.0020417526554513594,0.0021828606662117264,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w10/50k,OOD,4096,4096,0.0726834500856088,0.022958204747257693,0.025092660845267,0.0889000288347244,0.08292669831195362,0.09491987475414528,0.002134456098009309,0.0020875175882730684,0.002185824928172961,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w10/50k,OOD,8192,8192,0.0726834500856088,0.022683538787591283,0.024820890130383955,0.0900461446785927,0.08625230814020539,0.09419391398263163,0.002137351342792672,0.00210365812309714,0.0021715651973672413,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w10/50k,OOD,16384,16384,0.0726834500856088,0.022676041512334915,0.024802668674763204,0.08964232810186616,0.08656033049433502,0.09259979266570002,0.0021266271624282886,0.002102619757117624,0.002149507248026969,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w16/150k,ID,1024,1024,0.0726834500856088,0.011627312695639512,0.021823137457271366,0.6296138849634328,0.5766655300227538,0.6875118286766494,0.010195824761631854,0.009751095603883077,0.01066628891229833,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w16/150k,ID,2048,2048,0.0726834500856088,0.011260685928752715,0.021514855864407777,0.6474261288088847,0.6103582513719106,0.6861957342946531,0.010254169935655063,0.00993495443428234,0.01060666903687037,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w16/150k,ID,4096,4096,0.0726834500856088,0.011183429339611955,0.02136811675385668,0.647466780273991,0.6227549309632778,0.6745309777973563,0.010184687414244727,0.009971770090914862,0.010426114828678428,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w16/150k,ID,8192,8192,0.0726834500856088,0.010804300466465437,0.02104007981471046,0.6664849351247117,0.648532258008051,0.6850075093789416,0.010235779348245022,0.010077359108416865,0.010400906129069755,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w16/150k,ID,16384,16384,0.0726834500856088,0.01081115041303732,0.021059200374420328,0.6667594898827559,0.6539714265203207,0.6798033308341535,0.010248049961383008,0.010131130544493334,0.010360163538629603,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w16/150k,OOD,1024,1024,0.0726834500856088,0.010262477954459275,0.01822981677712212,0.574564211404443,0.5200474439631138,0.6223492732288406,0.007967338822662845,0.007738185016009239,0.008184519178513502,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w16/150k,OOD,2048,2048,0.0726834500856088,0.010423880764278793,0.018427262106685216,0.5697318031272058,0.5326723916200884,0.6037378209380986,0.008003381342406423,0.007845915809422259,0.00815958549083958,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
