tag,domain,M,alpha,P_bal,L_baseline,L_int,delta,delta_ci_lo,delta_ci_hi,loss_multiplier,source_file
w10/50k,ID,1024,1.0,0.0,0.023694757654994156,0.02369475736537697,-1.2222837852959856e-08,-3.8827807469221653e-08,1.3177752833382063e-08,0.9999999877771623,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,1024,0.75,0.025490733080992024,0.023694757654994156,0.024022021223694096,0.013717132960774592,0.011923940998200488,0.015711483103182308,1.0138116444770207,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,1024,0.5,0.05098146616198405,0.023694757654994156,0.0248766658750313,0.04867642297094443,0.04359307474604103,0.05429052479098967,1.0498805785332872,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,1024,0.25,0.07647219924297607,0.023694757654994156,0.026146810092686632,0.0984733704050198,0.08890803267047456,0.10878387230663453,1.1034850186440146,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,1024,0.0,0.1019629323239681,0.023694757654994156,0.02773255913441095,0.15735331526103513,0.14291563565480692,0.17282823140495066,1.1704090642415055,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,2048,1.0,0.0,0.023706290156928166,0.023706289920455533,-9.975100745407417e-09,-2.6854477130910937e-08,7.502298726702594e-09,0.9999999900248993,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,2048,0.75,0.025490733080992024,0.023706290156928166,0.024015996775594132,0.012979720238281534,0.01177077419005278,0.014287980670425093,1.0130643224484221,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,2048,0.5,0.05098146616198405,0.023706290156928166,0.024856539199010465,0.04738044437496969,0.04373878606395672,0.051135765218073614,1.048520837063413,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,2048,0.25,0.07647219924297607,0.023706290156928166,0.026116995052363035,0.09684583346099407,0.08995077866260125,0.10372005346686744,1.101690516714204,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,2048,0.0,0.1019629323239681,0.023706290156928166,0.02770049031021243,0.155709693374249,0.14517748750878423,0.16615755922883668,1.1684869343471254,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,4096,1.0,0.0,0.023528531336475006,0.023528530950749946,-1.6393928436997385e-08,-2.821662510310574e-08,-4.2181657722295625e-09,0.9999999836060717,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,4096,0.75,0.025490733080992024,0.023528531336475006,0.023826402318400903,0.012580522770674563,0.011704078212380831,0.013500104010054014,1.012659990445903,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,4096,0.5,0.05098146616198405,0.023528531336475006,0.024649910367059463,0.04655948010544453,0.044040479500400964,0.049149948492547856,1.0476603921659167,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,4096,0.25,0.07647219924297607,0.023528531336475006,0.02588769356834172,0.09555391983175054,0.09086524905204373,0.10035456084521507,1.1002681467078836,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,4096,0.0,0.1019629323239681,0.023528531336475006,0.02744231282727707,0.15387230186223233,0.146839589736641,0.16116030281853613,1.1663419375749453,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,8192,1.0,0.0,0.022907688958843472,0.022907688745771766,-9.301318382171075e-09,-1.8058329831482922e-08,-3.528137004771296e-10,0.9999999906986816,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,8192,0.75,0.025490733080992024,0.022907688958843472,0.023203606046870683,0.012835083049042684,0.012217942649543834,0.01354920575998948,1.0129178062684048,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,8192,0.5,0.05098146616198405,0.022907688958843472,0.024028306170168608,0.047759942531636845,0.046069466362546566,0.049716145925473895,1.0489188243012406,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,8192,0.25,0.07647219924297607,0.022907688958843472,0.025270815084409735,0.09817755930254402,0.09503454780706912,0.10178651097730818,1.1031586437991152,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,8192,0.0,0.1019629323239681,0.022907688958843472,0.026834266788093097,0.15820706568572707,0.15335782168326698,0.16357147566552124,1.171408728148187,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,16384,1.0,0.0,0.02288126408597641,0.0228812639883701,-4.265773956291241e-09,-1.029654146389447e-08,1.9803586881472752e-09,0.999999995734226,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,16384,0.75,0.025490733080992024,0.02288126408597641,0.023174399336741956,0.012729779030431043,0.012268073144513359,0.013185452580298884,1.0128111475687749,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,16384,0.5,0.05098146616198405,0.02288126408597641,0.02399728591512563,0.047622323584969095,0.04635417799570272,0.04890264195493105,1.0487744831297683,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,16384,0.25,0.07647219924297607,0.02288126408597641,0.025238896729005773,0.09806791200710796,0.09569753778476091,0.10045773041320417,1.103037692068522,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,ID,16384,0.0,0.1019629323239681,0.02288126408597641,0.02680173611819481,0.1581482524498914,0.15454294549752126,0.161654788528219,1.171339835836308,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,1024,1.0,0.0,0.021078557584718365,0.021078557874134637,1.3730363956909741e-08,-1.2448676312004633e-09,2.9484420527303708e-08,1.000000013730364,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,1024,0.75,0.024243568150605715,0.021078557584718365,0.021476311066485718,0.01869422127303233,0.016366057469753593,0.021198706429676705,1.018870052192552,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,1024,0.5,0.04848713630121143,0.021078557584718365,0.022196819064389757,0.051692697664414755,0.04558458865976698,0.057953984356050973,1.0530520874199716,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,1024,0.25,0.07273070445181715,0.021078557584718365,0.023183143172809683,0.09516913164119156,0.0843337593641139,0.10612964747098229,1.0998448579620603,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,1024,0.0,0.09697427260242286,0.021078557584718365,0.024386248112560075,0.14576307591198212,0.1296657022374924,0.16186408933677113,1.15692205287518,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,2048,1.0,0.0,0.021501561477693772,0.021501561598988975,5.641227929231718e-09,-5.272671599332313e-09,1.7318298595192498e-08,1.000000005641228,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,2048,0.75,0.024243568150605715,0.021501561477693772,0.021893994321112813,0.018086807935460136,0.016366334064165967,0.019816516602924515,1.0182513648520906,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,2048,0.5,0.04848713630121143,0.021501561477693772,0.02261945191161511,0.05068468077278343,0.0460901397018159,0.05522071002397374,1.0519911279504546,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,2048,0.25,0.07273070445181715,0.021501561477693772,0.023614942028029735,0.09375408910006211,0.08551876509178222,0.10176405274526731,1.0982896313148434,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,2048,0.0,0.09697427260242286,0.021501561477693772,0.024828291018682797,0.14385821050729852,0.1315047442063192,0.15566955495786355,1.1547203697015336,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,4096,1.0,0.0,0.022958204747257693,0.022958204830833703,3.6403546843644108e-09,-3.8677284486254845e-09,1.058902435735475e-08,1.0000000036403547,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,4096,0.75,0.024243568150605715,0.022958204747257693,0.02335652110583467,0.017200843661747012,0.015966628785446933,0.018472643443325897,1.0173496300325726,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,4096,0.5,0.04848713630121143,0.022958204747257693,0.024088807469979375,0.04807193434339485,0.04488542966342977,0.05150091893026941,1.0492461294412283,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,4096,0.25,0.07273070445181715,0.022958204747257693,0.02509466170146576,0.08897976435749344,0.08322153403565866,0.09507056772202942,1.0930585373607344,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,4096,0.0,0.09697427260242286,0.022958204747257693,0.026321775484073977,0.13672118383966536,0.12798320690770953,0.14583458195751275,1.1465084388716436,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,8192,1.0,0.0,0.022683538787591283,0.02268353880427963,7.357030540333653e-10,-4.591887325933186e-09,5.8774089262136886e-09,1.000000000735703,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,8192,0.75,0.024243568150605715,0.022683538787591283,0.023082257709425544,0.01742476000117632,0.01663745607125605,0.018250201190876215,1.017577456743759,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,8192,0.5,0.04848713630121143,0.022683538787591283,0.023815329544393603,0.048689973952088295,0.046565349168484774,0.05087300495309985,1.0498948055416049,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,8192,0.25,0.07273070445181715,0.022683538787591283,0.024822894916032928,0.09012691151166896,0.08626918209232229,0.09400616989359874,1.094313155829634,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,8192,0.0,0.09697427260242286,0.022683538787591283,0.026052199000097195,0.1384626813408678,0.1327222233385904,0.14419665741879917,1.1485068200358883,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,16384,1.0,0.0,0.022676041512334915,0.022676041503781705,-3.7719116718903933e-10,-4.045924140161361e-09,3.3483446237880793e-09,0.9999999996228088,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,16384,0.75,0.024243568150605715,0.022676041512334915,0.023071044169294837,0.017269404942686695,0.01667731497142285,0.017850407145663136,1.0174193832175278,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,16384,0.5,0.04848713630121143,0.022676041512334915,0.02380025958533562,0.04838756043170811,0.04677653036084254,0.04995418654533774,1.0495773511611,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,16384,0.25,0.07273070445181715,0.022676041512334915,0.02480466707645007,0.08972289689910928,0.08684418631296258,0.09253328608043639,1.0938711266231045,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w10/50k,OOD,16384,0.0,0.09697427260242286,0.022676041512334915,0.026032120061185014,0.1380222353944327,0.13372814248819107,0.14222419609418024,1.148001076247127,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,1024,1.0,0.0,0.011627312695639512,0.011627312631845237,-5.486588072756149e-09,-4.331619050113034e-08,3.5130765785318365e-08,0.9999999945134119,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,1024,0.75,0.02346211304399537,0.011627312695639512,0.013555852541255122,0.15346150269059855,0.1365832403841214,0.17205149904646114,1.1658629036732495,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,1024,0.5,0.04692422608799074,0.011627312695639512,0.01718959963063747,0.39094765504626316,0.3539638234177358,0.430578562363951,1.4783811255961092,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
