seed,tier,alpha,P_total,delta,L_baseline,row_kind,delta_ci95_lo,delta_ci95_hi,bracket_alphas,in_support,source_file
1,LOW,1.0,0.0,-1.1250000994110434e-08,0.02362621206423435,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
1,LOW,0.75,0.058259695996620266,0.012102709143703731,0.02362621206423435,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
1,LOW,0.5,0.11651939190901613,0.045375740177591155,0.02362621206423435,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
1,LOW,0.25,0.17477908901038863,0.09370797747011599,0.02362621206423435,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
1,LOW,0.0,0.23303878401640873,0.15168016020263267,0.02362621206423435,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
1,HIGH,1.0,0.0,-3.3239639485316275e-08,0.007132378682770923,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
1,HIGH,0.75,0.07158798740887494,0.23282549089376037,0.007132378682770923,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
1,HIGH,0.5,0.14317597316864442,0.5260657110935592,0.007132378682770923,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
1,HIGH,0.25,0.21476396040006104,0.7812437224166606,0.007132378682770923,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
1,HIGH,0.0,0.28635194655574164,0.9984977326669289,0.007132378682770923,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
2,LOW,1.0,0.0,-3.777673285298988e-09,0.02246090531429106,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
2,LOW,0.75,0.06857145764333442,0.10429994119369823,0.02246090531429106,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
2,LOW,0.5,0.13714291606420093,0.2827465827125857,0.02246090531429106,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
2,LOW,0.25,0.20571437220366817,0.4638075599127034,0.02246090531429106,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
2,LOW,0.0,0.27428583003098056,0.6311411587261713,0.02246090531429106,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
2,HIGH,1.0,0.0,-1.1296525492809906e-08,0.007156724950051554,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
2,HIGH,0.75,0.04784217890412977,0.330847072971193,0.007156724950051554,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
2,HIGH,0.5,0.09568435809854275,0.7006315701226891,0.007156724950051554,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
2,HIGH,0.25,0.14352653521812125,0.9986389336825927,0.007156724950051554,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
2,HIGH,0.0,0.19136871412782783,1.2432508226743417,0.007156724950051554,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
3,LOW,1.0,0.0,5.155995630445886e-10,0.02211831324808878,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
3,LOW,0.75,0.06411763462886864,0.10732769935773145,0.02211831324808878,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
3,LOW,0.5,0.12823526833722207,0.28444832204701065,0.02211831324808878,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
3,LOW,0.25,0.19235290289782295,0.4683119950443686,0.02211831324808878,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
3,LOW,0.0,0.256470537541006,0.64304778853649,0.02211831324808878,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
3,HIGH,1.0,0.0,3.44981003763678e-08,0.007261425148795194,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
3,HIGH,0.75,0.047428398766947655,0.11483742326207391,0.007261425148795194,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
3,HIGH,0.5,0.0948567976556848,0.28438123956560535,0.007261425148795194,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
3,HIGH,0.25,0.14228519563841927,0.455252300249513,0.007261425148795194,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
3,HIGH,0.0,0.18971359562886023,0.6143394216527307,0.007261425148795194,measured_alpha_point,,,,,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
1,LOW,,0.15,0.07315124838416123,0.02362621206423435,interpolated_at_P_star,0.0666143424224367,0.08125111719281611,"[0.5, 0.25]",True,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
1,HIGH,,0.15,0.5503902055148328,0.007132378682770923,interpolated_at_P_star,0.4970851340892238,0.611798727374801,"[0.5, 0.25]",True,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
2,LOW,,0.15,0.31669534670886096,0.02246090531429106,interpolated_at_P_star,0.29243716500266237,0.344043887953571,"[0.5, 0.25]",True,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
2,HIGH,,0.15,1.0317370593261899,0.007156724950051554,interpolated_at_P_star,0.9559089675910737,1.1180735541445077,"[0.25, 0.0]",True,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
3,LOW,,0.15,0.34686084759858865,0.02211831324808878,interpolated_at_P_star,0.3152652027753518,0.3811301394803216,"[0.5, 0.25]",True,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
3,HIGH,,0.15,0.4811297495904191,0.007261425148795194,interpolated_at_P_star,0.43187486507339456,0.537012245297812,"[0.25, 0.0]",True,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/seed_replication_2026_08_20/REPORT.md (+ results/G_s_analysis.json, results/alpha_curves_all_seeds.csv)"
