claim,study,architecture,role_tier,lmax,width_label,width,global_step,seed,N_trainable_params,D_atom_tokens,C_flops,checkpoint_path,checkpoint_sha256,status,source_file
1,four_arch_matched_compute_frontier_kernel_2026_08_15,MC-EGNN,HIGH,,hc,320,250000,,10372498,433116378,3.78582870890503e+17,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-320-neutral-epoch/mc_egnn/run_9745363_params_10.4_million/dim_320_step_step=250000.ckpt,1913be4e6529bee6df86819087bb4f31a80702867aa4dfea4b94274077fd6ee7,EXISTING,paper_results/claim1/owner_manifest.csv (originally dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv)
1,four_arch_matched_compute_frontier_kernel_2026_08_15,eSEN,HIGH,4,sphere_channels,40,275000,,4253730,476605759,4.522617321737471e+17,/network/scratch/m/michnikr/geometric_scaling_checkpoints_esen/esen-sphere-40-neutral-epoch/esen/run_9928671_params_4.3_million/dim_32_step_step=275000.ckpt,03c9c8ec73d9a160fbd3c45cb1e6174f4e0cc056ed94dd2df0913dbe1a2184a6,EXISTING,paper_results/claim1/owner_manifest.csv (originally dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv)
1,four_arch_matched_compute_frontier_kernel_2026_08_15,GemNet-OC,HIGH,,width,144,500000,,4236240,866390858,3.873570882593403e+17,/network/scratch/m/michnikr/geometric_scaling_checkpoints_gemnet_oc/gemnet-oc-atom144-neutral-epoch/gemnet_oc/run_9816222_params_4.2_million/dim_144_step_step=500000.ckpt,0c87d81da5e26d69d272d0007432fe059d458285d273bb9e481c600eb8015a19,EXISTING,paper_results/claim1/owner_manifest.csv (originally dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv)
1,four_arch_matched_compute_frontier_kernel_2026_08_15,MPNN,HIGH,,hc,2557,450000,,78984522,779777582,4.305166134682947e+17,/network/scratch/m/michnikr/geometric_scaling_checkpoints_corrected_stats/dim-2557-neutral-epoch-corrected-stats/mpnn/run_10325229_params_79.0_million/dim_2557_step_step=450000.ckpt,6df8f674edd0a4488449e4255e8b401e11f19249c29913558940b4dcb9c76ed0,EXISTING,paper_results/claim1/owner_manifest.csv (originally dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv)
1,four_arch_matched_compute_frontier_kernel_2026_08_15,MC-EGNN,LOW,,hc,96,100000,,1055050,173280589,1.5406214890718402e+16,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-96-neutral-epoch/mc_egnn/run_9745361_params_1.1_million/dim_96_step_step=100000.ckpt,30d7986dc7f86d1ad0af3ddc5c189a1e46e440daa5f9cc878f92e70b77ab5705,EXISTING,paper_results/claim1/owner_manifest.csv (originally dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv)
1,four_arch_matched_compute_frontier_kernel_2026_08_15,eSEN,LOW,4,sphere_channels,10,50000,,1089390,86650769,2.10579670352222e+16,/network/scratch/m/michnikr/geometric_scaling_checkpoints_esen/esen-sphere-10-neutral-epoch/esen/run_9741255_params_1.1_million/dim_32_step_step=50000.ckpt,c839ef8fcf38f2bdfec7d9cdef8d92594bef88b51f890cad0a1eba83baa6d2d3,EXISTING,paper_results/claim1/owner_manifest.csv (originally dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv)
1,four_arch_matched_compute_frontier_kernel_2026_08_15,GemNet-OC,LOW,,width,48,200000,,575472,346647268,2.1053730974271748e+16,/network/scratch/m/michnikr/geometric_scaling_checkpoints_gemnet_oc/gemnet-oc-atom48-neutral-epoch/gemnet_oc/run_9816221_params_575.5_thousand/dim_48_step_step=200000.ckpt,a77cfa67e248209a707d1d5555b930f4dff17422468698ea55640868980c9b22,EXISTING,paper_results/claim1/owner_manifest.csv (originally dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv)
1,four_arch_matched_compute_frontier_kernel_2026_08_15,MPNN,LOW,,hc,607,400000,,4546197,693100729,2.202529745959452e+16,/network/scratch/m/michnikr/geometric_scaling_checkpoints_corrected_stats/dim-607-neutral-epoch-corrected-stats/mpnn/run_9782261_params_4.5_million/dim_607_step_step=400000.ckpt,8b4c7083fcef7edccbbe9bf3e4b477be37233ffead8dff55fef4a3755807b1de,EXISTING,paper_results/claim1/owner_manifest.csv (originally dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv)
1,four_arch_matched_compute_frontier_kernel_2026_08_15,MC-EGNN,MID,,hc,96,450000,,1055050,779691165,6.9321611299373976e+16,/network/scratch/m/michnikr/geometric_scaling_checkpoints_mc_egnn/mc-egnn-hc-96-neutral-epoch/mc_egnn/run_9745361_params_1.1_million/dim_96_step_step=450000.ckpt,c8e08595eb3e8a5c8279ef6498ac6ae03006716070dc4ec9c17b9db3ae360710,EXISTING,paper_results/claim1/owner_manifest.csv (originally dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv)
1,four_arch_matched_compute_frontier_kernel_2026_08_15,eSEN,MID,4,sphere_channels,16,150000,,1722258,259964327,9.987863619290285e+16,/network/scratch/m/michnikr/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch/esen/run_9721383_params_1.7_million/dim_32_step_step=150000.ckpt,1d7e8d23a3c29310c08925648eaf217d69cb62122011febf2805ccd23599abbf,EXISTING,paper_results/claim1/owner_manifest.csv (originally dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv)
1,four_arch_matched_compute_frontier_kernel_2026_08_15,GemNet-OC,MID,,width,64,500000,,937280,866390858,8.570384390018376e+16,/network/scratch/m/michnikr/geometric_scaling_checkpoints_gemnet_oc/gemnet-oc-atom64-neutral-epoch/gemnet_oc/run_9816214_params_937.3_thousand/dim_64_step_step=500000.ckpt,edf850ac2c05ebf95203694d7c1f1ea3ea8debe87903eff973137b6a8646a433,EXISTING,paper_results/claim1/owner_manifest.csv (originally dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv)
1,four_arch_matched_compute_frontier_kernel_2026_08_15,MPNN,MID,,hc,1150,500000,,16106329,866390858,9.754108964876658e+16,/network/scratch/m/michnikr/geometric_scaling_checkpoints_corrected_stats/dim-1150-neutral-epoch-corrected-stats/mpnn/run_10325226_params_16.1_million/dim_1150_step_step=500000.ckpt,2b5e3626b3e1b39b96825705332ecf8b8c870f4c60c09be03b2d1591fc387269,EXISTING,paper_results/claim1/owner_manifest.csv (originally dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_matched_compute_frontier_kernel_2026_08_15/selected_frontier_owners.csv)
2,"stage3b1_true_lmax_frontiers_2026_08_16 (matched-compute lmax owners, backs C4)",eSEN,matched_compute_LOW,4,sphere_channels,10,50000,1,1089390,86650769,2.3989785957410084e+16,/network/scratch/m/michnikr/geometric_scaling_checkpoints_esen/esen-sphere-10-neutral-epoch/esen/run_9741255_params_1.1_million/dim_32_step_step=50000.ckpt,c839ef8fcf38f2bdfec7d9cdef8d92594bef88b51f890cad0a1eba83baa6d2d3,EXISTING,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/stage3b1_true_lmax_frontiers_2026_08_16/frontier_owner_manifest.json ; stage3b1_frontier_lmax{2,4}.json ; cross-checked against final_validation_sprint_2026_08_20/INVENTORY.md#4 (see AUDIT_STAGE1.md for a HIGH/lmax4 internal-inconsistency note in frontier_owner_manifest.json itself)"
2,"stage3b1_true_lmax_frontiers_2026_08_16 (matched-compute lmax owners, backs C4)",eSEN,matched_compute_LOW,2,sphere_channels,16,125000,1,494290,216671114,2.3263386531130812e+16,/network/scratch/m/michnikr/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax2/esen/run_10337251_params_494.3_thousand/dim_32_step_step=125000.ckpt,,EXISTING,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/stage3b1_true_lmax_frontiers_2026_08_16/frontier_owner_manifest.json ; stage3b1_frontier_lmax{2,4}.json ; cross-checked against final_validation_sprint_2026_08_20/INVENTORY.md#4 (see AUDIT_STAGE1.md for a HIGH/lmax4 internal-inconsistency note in frontier_owner_manifest.json itself)"
2,"stage3b1_true_lmax_frontiers_2026_08_16 (matched-compute lmax owners, backs C4)",eSEN,matched_compute_MID,4,sphere_channels,16,150000,1,1722258,259964327,1.1268708929342485e+17,/network/scratch/m/michnikr/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch/esen/run_9721383_params_1.7_million/dim_32_step_step=150000.ckpt,1d7e8d23a3c29310c08925648eaf217d69cb62122011febf2805ccd23599abbf,EXISTING,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/stage3b1_true_lmax_frontiers_2026_08_16/frontier_owner_manifest.json ; stage3b1_frontier_lmax{2,4}.json ; cross-checked against final_validation_sprint_2026_08_20/INVENTORY.md#4 (see AUDIT_STAGE1.md for a HIGH/lmax4 internal-inconsistency note in frontier_owner_manifest.json itself)"
2,"stage3b1_true_lmax_frontiers_2026_08_16 (matched-compute lmax owners, backs C4)",eSEN,matched_compute_MID,2,sphere_channels,32,300000,1,955506,519928706,1.079113959899742e+17,/network/scratch/m/michnikr/geometric_scaling_checkpoints_esen/esen-sphere-32-neutral-epoch-lmax2/esen/run_10337245_params_955.5_thousand/dim_32_step_step=300000.ckpt,,EXISTING,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/stage3b1_true_lmax_frontiers_2026_08_16/frontier_owner_manifest.json ; stage3b1_frontier_lmax{2,4}.json ; cross-checked against final_validation_sprint_2026_08_20/INVENTORY.md#4 (see AUDIT_STAGE1.md for a HIGH/lmax4 internal-inconsistency note in frontier_owner_manifest.json itself)"
2,"stage3b1_true_lmax_frontiers_2026_08_16 (matched-compute lmax owners, backs C4)",eSEN,matched_compute_UPPERMID,4,sphere_channels,20,200000,1,2144170,346575759,1.8649009486112646e+17,/network/scratch/m/michnikr/geometric_scaling_checkpoints_esen/esen-sphere-20-neutral-epoch/esen/run_9741258_params_2.1_million/dim_32_step_step=200000.ckpt,,EXISTING,"dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/stage3b1_true_lmax_frontiers_2026_08_16/frontier_owner_manifest.json ; stage3b1_frontier_lmax{2,4}.json ; cross-checked against final_validation_sprint_2026_08_20/INVENTORY.md#4 (see AUDIT_STAGE1.md for a HIGH/lmax4 internal-inconsistency note in frontier_owner_manifest.json itself)"
